method,split,stress_level,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_edge_f1,ci95_edge_f1,mean_graph_edit,ci95_graph_edit,mean_safety_violation_rate,ci95_safety_violation_rate,mean_fixture_contact_rate,ci95_fixture_contact_rate,mean_wall_contact_rate,ci95_wall_contact_rate,mean_jam_f1,ci95_jam_f1,mean_final_progress,ci95_final_progress
topology_world_model_v4,combined_extreme_stress,0.25,8,3,0.20833,0.17186,0.77233,0.09323,0.09064,0.02879,0.00000,0.00000,0.00087,0.00170,0.00521,0.00340,0.41667,0.16333,0.54437,0.12077
topology_world_model_v4,combined_extreme_stress,0.50,8,3,0.00000,0.00000,0.73200,0.07492,0.08572,0.02024,0.25000,0.19275,0.20920,0.16369,0.01042,0.00446,0.75000,0.16333,0.37213,0.07797
topology_world_model_v4,combined_extreme_stress,0.75,8,3,0.00000,0.00000,0.73012,0.11029,0.08963,0.03501,0.35503,0.18894,0.21701,0.09562,0.00434,0.00358,0.79167,0.17186,0.19751,0.22477
topology_world_model_v4,combined_extreme_stress,1.00,8,3,0.00000,0.00000,0.61065,0.09910,0.11100,0.02488,0.17014,0.09054,0.10851,0.05092,0.01476,0.00402,0.62500,0.19276,0.04507,0.06499
topology_world_model_v4,combined_stress,0.00,8,3,0.12500,0.11955,0.71358,0.12974,0.10779,0.03227,0.00000,0.00000,0.00000,0.00000,0.00608,0.00402,0.29419,0.14851,0.63329,0.11194
topology_world_model_v4,combined_stress,0.25,8,3,0.12500,0.11955,0.81048,0.08684,0.08843,0.03389,0.00000,0.00000,0.00087,0.00170,0.00955,0.00510,0.33929,0.24721,0.56891,0.13772
topology_world_model_v4,combined_stress,0.50,8,3,0.04167,0.08167,0.74004,0.06332,0.10135,0.02169,0.35069,0.15337,0.31858,0.13767,0.01215,0.00498,0.75000,0.16333,0.47573,0.12338
topology_world_model_v4,combined_stress,0.75,8,3,0.00000,0.00000,0.72147,0.08866,0.09169,0.01304,0.40451,0.06241,0.28559,0.06942,0.00521,0.00223,0.87500,0.11955,0.21080,0.16377
topology_world_model_v4,combined_stress,1.00,8,3,0.00000,0.00000,0.49363,0.09471,0.14030,0.02417,0.08247,0.08629,0.06771,0.02997,0.01476,0.00870,0.45833,0.17186,0.00000,0.00000
topology_world_model_v4,fixture_topology_shift,0.00,8,3,0.25000,0.16333,0.60431,0.12226,0.13012,0.02888,0.00000,0.00000,0.00000,0.00000,0.00608,0.00402,0.16919,0.12542,0.62550,0.08946
topology_world_model_v4,fixture_topology_shift,0.25,8,3,0.12500,0.11955,0.81580,0.06337,0.08855,0.02303,0.06771,0.08688,0.07812,0.10024,0.00174,0.00223,0.45833,0.21161,0.48203,0.11070
topology_world_model_v4,fixture_topology_shift,0.50,8,3,0.04167,0.08167,0.74771,0.06876,0.10106,0.02075,0.46354,0.11480,0.40538,0.11079,0.00868,0.00716,0.79167,0.11955,0.34886,0.11499
topology_world_model_v4,fixture_topology_shift,0.75,8,3,0.00000,0.00000,0.79355,0.10466,0.06673,0.02886,0.33160,0.11282,0.19358,0.07149,0.00868,0.00498,0.87500,0.11955,0.15390,0.09016
topology_world_model_v4,fixture_topology_shift,1.00,8,3,0.00000,0.00000,0.47879,0.08102,0.13932,0.01602,0.09375,0.05665,0.06858,0.02033,0.01562,0.00498,0.45833,0.11955,0.00000,0.00000
topology_world_model_v5,combined_extreme_stress,0.00,8,3,0.12500,0.17186,0.64192,0.10425,0.13787,0.02081,0.00000,0.00000,0.00000,0.00000,0.00608,0.00477,0.04167,0.08167,0.73037,0.04768
topology_world_model_v5,combined_extreme_stress,0.25,8,3,0.08333,0.10693,0.80233,0.08489,0.08793,0.03003,0.00000,0.00000,0.00087,0.00170,0.00521,0.00498,0.41667,0.16333,0.56333,0.09912
topology_world_model_v5,combined_extreme_stress,0.50,8,3,0.00000,0.00000,0.72847,0.06266,0.08789,0.02357,0.25434,0.19669,0.22135,0.18228,0.01042,0.00575,0.79167,0.11955,0.39046,0.10930
topology_world_model_v5,combined_extreme_stress,0.75,8,3,0.00000,0.00000,0.67387,0.09499,0.09744,0.02613,0.37934,0.15743,0.19965,0.07965,0.00694,0.00364,0.70833,0.19276,0.12028,0.08951
topology_world_model_v5,combined_extreme_stress,1.00,8,3,0.00000,0.00000,0.57329,0.12117,0.11176,0.02447,0.15365,0.11438,0.10330,0.05851,0.01823,0.00811,0.83333,0.17461,0.17945,0.13000
topology_world_model_v5,combined_stress,0.00,8,3,0.16667,0.21385,0.63737,0.10181,0.12945,0.02929,0.00000,0.00000,0.00000,0.00000,0.00434,0.00358,0.31474,0.15816,0.60336,0.14177
topology_world_model_v5,combined_stress,0.25,8,3,0.12500,0.11955,0.76646,0.11772,0.09742,0.03445,0.00000,0.00000,0.00087,0.00170,0.00521,0.00427,0.33333,0.24694,0.56014,0.12898
topology_world_model_v5,combined_stress,0.50,8,3,0.00000,0.00000,0.69291,0.11403,0.11176,0.03040,0.32726,0.12681,0.34722,0.14105,0.01302,0.00477,0.75000,0.16333,0.49229,0.10802
topology_world_model_v5,combined_stress,0.75,8,3,0.00000,0.00000,0.69841,0.11419,0.09451,0.02573,0.28212,0.10508,0.21441,0.07515,0.00694,0.00446,0.87500,0.11955,0.23801,0.14309
topology_world_model_v5,combined_stress,1.00,8,3,0.00000,0.00000,0.46169,0.10271,0.13943,0.02602,0.05035,0.06542,0.05642,0.03217,0.01215,0.00498,0.41667,0.23910,0.00000,0.00000
topology_world_model_v5,fixture_topology_shift,0.00,8,3,0.25000,0.16333,0.56644,0.14229,0.13563,0.03193,0.00000,0.00000,0.00000,0.00000,0.00608,0.00477,0.12500,0.11955,0.64494,0.10798
topology_world_model_v5,fixture_topology_shift,0.25,8,3,0.12500,0.17186,0.80597,0.04708,0.09480,0.01971,0.10156,0.09713,0.11719,0.11208,0.00260,0.00358,0.51058,0.24683,0.47249,0.13885
topology_world_model_v5,fixture_topology_shift,0.50,8,3,0.04167,0.08167,0.73246,0.06904,0.10514,0.01873,0.47222,0.11194,0.39062,0.09013,0.00694,0.00681,0.79167,0.11955,0.30965,0.14286
topology_world_model_v5,fixture_topology_shift,0.75,8,3,0.00000,0.00000,0.73724,0.17788,0.07552,0.04288,0.30990,0.12293,0.15104,0.05085,0.00781,0.00653,0.87500,0.11955,0.12309,0.11303
topology_world_model_v5,fixture_topology_shift,1.00,8,3,0.00000,0.00000,0.41681,0.06985,0.16493,0.03044,0.09635,0.07602,0.10330,0.07778,0.02170,0.01163,0.45833,0.17186,0.11195,0.15768
