stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6762,0.0194
0.0,conformal_risk_filter,0.7238,0.0098
0.0,proposed_branch_mechanism,0.7474,0.0106
0.0,oracle_branch_upper_bound,0.8012,0.0058
0.2,scalar_uncertainty_planner,0.6200,0.0178
0.2,conformal_risk_filter,0.6795,0.0144
0.2,proposed_branch_mechanism,0.7183,0.0114
0.2,oracle_branch_upper_bound,0.7852,0.0072
0.4,scalar_uncertainty_planner,0.5624,0.0151
0.4,conformal_risk_filter,0.6314,0.0195
0.4,proposed_branch_mechanism,0.6886,0.0104
0.4,oracle_branch_upper_bound,0.7621,0.0075
0.6,scalar_uncertainty_planner,0.5088,0.0209
0.6,conformal_risk_filter,0.5874,0.0172
0.6,proposed_branch_mechanism,0.6590,0.0103
0.6,oracle_branch_upper_bound,0.7407,0.0109
0.8,scalar_uncertainty_planner,0.4545,0.0206
0.8,conformal_risk_filter,0.5388,0.0151
0.8,proposed_branch_mechanism,0.6269,0.0120
0.8,oracle_branch_upper_bound,0.7202,0.0124
1.0,scalar_uncertainty_planner,0.4002,0.0209
1.0,conformal_risk_filter,0.4983,0.0189
1.0,proposed_branch_mechanism,0.5979,0.0098
1.0,oracle_branch_upper_bound,0.6988,0.0134
