method,split_rows,success,edge_f1,graph_edit,safety_violation_rate,fixture_contact_rate,wall_contact_rate,jam_f1
ablate_no_birth_death,4,0.04688,0.69880,0.10848,0.23633,0.23499,0.01074,0.64403
ablate_no_component_head,4,0.04688,0.65512,0.10661,0.21501,0.19792,0.01139,0.72656
ablate_no_fixture_guard,4,0.03906,0.63393,0.11106,0.23177,0.19326,0.01205,0.69531
ablate_no_graph_memory,4,0.03906,0.64802,0.10943,0.22575,0.20524,0.00976,0.75111
ablate_no_jam_slip,4,0.03906,0.65027,0.11044,0.21110,0.18592,0.01221,0.60659
ablate_no_tail_risk_objective,4,0.05469,0.66822,0.10626,0.22738,0.21003,0.01416,0.70886
ablate_no_topology_planner,4,0.05469,0.63765,0.12117,0.19336,0.18802,0.01139,0.71875
ablate_no_transition_bonus,4,0.03125,0.66682,0.10669,0.21761,0.19554,0.01188,0.71094
ablate_no_uncertainty_penalty,4,0.03125,0.66570,0.10788,0.23340,0.21077,0.01156,0.70312
learned_only_topology_replacement,4,0.06250,0.72931,0.10331,0.24984,0.24190,0.00879,0.67021
topology_full_v5,4,0.03125,0.64330,0.10939,0.21777,0.19645,0.01139,0.75046
topology_world_model_v4,4,0.04688,0.66911,0.10597,0.23877,0.21019,0.01074,0.68861
