method,split,seed,episode,stress_level,success,edge_f1,birth_f1,death_f1,graph_edit,component_accuracy,jam_f1,safety_violation_rate,chain_contact_rate,pocket_contact_rate,fixture_contact_rate,wall_contact_rate,final_progress,final_y_error,energy,trajectory_samples
last_contact_persistence,nominal_push_to_pocket,0,0,,0,0.95496,0.91667,0.93750,0.01823,0.87500,0.06452,0.00000,0.95833,0.89583,0.00000,0.00000,0.81841,0.00578,11.58670,"0:b(0.031,-0.024):p0.00:e[none];10:b(0.358,-0.025):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.025):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.025):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.025):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.357,-0.025):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
distance_threshold_graph,nominal_push_to_pocket,0,0,,0,0.97222,0.95833,1.00000,0.00521,0.95833,0.00000,0.00000,0.95833,0.89583,0.00000,0.00000,0.81842,0.00448,11.57898,"0:b(0.031,-0.024):p0.00:e[none];10:b(0.358,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
state_only_dynamics_model,nominal_push_to_pocket,0,0,,0,0.86667,0.11111,1.00000,0.11458,1.00000,0.00000,0.00000,0.95833,0.89583,0.00000,0.00000,0.81842,0.00442,11.57509,"0:b(0.031,-0.024):p0.00:e[none];10:b(0.358,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
pairwise_contact_classifier,nominal_push_to_pocket,0,0,,0,0.80417,0.93750,0.12500,0.12500,0.12500,0.05714,0.00000,0.95833,0.89583,0.00000,0.00000,0.81841,0.00423,11.57097,"0:b(0.031,-0.024):p0.00:e[none];10:b(0.358,-0.023):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.023):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.023):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.023):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.357,-0.023):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
random_forest_topology_planner,nominal_push_to_pocket,0,0,,0,0.51736,0.93750,0.04167,0.23438,0.04167,0.00000,0.00000,0.95833,0.89583,0.00000,0.00000,0.81841,0.00456,11.56632,"0:b(0.031,-0.024):p0.00:e[none];10:b(0.358,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
hist_gradient_topology_planner,nominal_push_to_pocket,0,0,,0,0.80069,0.93750,0.15972,0.11979,0.06250,0.00000,0.00000,0.95833,0.89583,0.00000,0.00000,0.81841,0.00498,11.57731,"0:b(0.031,-0.024):p0.00:e[none];10:b(0.358,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
ensemble_uncertainty_planner,nominal_push_to_pocket,0,0,,0,0.69514,0.93750,0.13889,0.16667,0.10417,0.00000,0.00000,0.95833,0.89583,0.00000,0.00000,0.81806,0.03841,10.00646,"0:b(0.031,-0.024):p0.00:e[none];10:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,0.022):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.357,0.019):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
conformal_graph_guard,nominal_push_to_pocket,0,0,,0,0.81389,0.95833,0.13889,0.11719,0.10417,0.00000,0.00000,0.95833,0.89583,0.00000,0.00000,0.81842,0.04550,9.92992,"0:b(0.031,-0.024):p0.00:e[none];10:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
risk_averse_graph_planner,nominal_push_to_pocket,0,0,,0,0.81389,0.95833,0.13889,0.11719,0.10417,0.00000,0.00000,0.95833,0.89583,0.00000,0.00000,0.81842,0.04594,9.98608,"0:b(0.031,-0.024):p0.00:e[none];10:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,0.026):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,0.027):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.357,0.027):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
robust_contact_mpc,nominal_push_to_pocket,0,0,,0,0.99306,0.97917,1.00000,0.00260,0.97917,0.00000,0.00000,0.95833,0.89583,0.00000,0.00000,0.81842,0.00446,11.56489,"0:b(0.031,-0.024):p0.00:e[none];10:b(0.358,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];47:b(0.357,-0.024):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
