split,reference,comparison,paired_success_diff,ci95_success_diff,paired_edge_f1_diff,paired_graph_edit_reduction,paired_safety_reduction,reference_better_seeds,seeds
actuator_limit_chain,topology_world_model_v5,conformal_graph_guard,0.00000,0.00000,-0.01186,-0.00879,-0.00000,0,8
actuator_limit_chain,topology_world_model_v5,contact_implicit_mpc_baseline,0.00000,0.00000,-0.31285,-0.09549,0.04644,0,8
actuator_limit_chain,topology_world_model_v5,distance_threshold_graph,0.00000,0.00000,-0.30633,-0.09245,0.01345,0,8
actuator_limit_chain,topology_world_model_v5,ensemble_uncertainty_planner,0.00000,0.00000,-0.11681,-0.03803,0.06033,0,8
actuator_limit_chain,topology_world_model_v5,hist_gradient_topology_planner,0.00000,0.00000,-0.15804,-0.05306,0.03212,0,8
actuator_limit_chain,topology_world_model_v5,last_contact_persistence,0.00000,0.00000,-0.33241,-0.11925,0.03125,0,8
actuator_limit_chain,topology_world_model_v5,oracle_topology_planner,-0.18750,0.07402,-0.44339,-0.15918,-0.69141,0,8
actuator_limit_chain,topology_world_model_v5,pairwise_contact_classifier,0.00000,0.00000,-0.07689,-0.00304,0.03081,0,8
actuator_limit_chain,topology_world_model_v5,random_forest_topology_planner,0.00000,0.00000,0.12260,0.01964,0.02995,0,8
actuator_limit_chain,topology_world_model_v5,risk_averse_graph_planner,-0.02083,0.04083,0.19055,-0.00449,-0.26650,0,8
actuator_limit_chain,topology_world_model_v5,robust_contact_mpc,0.00000,0.00000,-0.27697,-0.07096,0.01432,0,8
actuator_limit_chain,topology_world_model_v5,state_only_dynamics_model,-0.02083,0.04083,-0.36009,-0.11555,0.01215,0,8
actuator_limit_chain,topology_world_model_v5,topology_no_memory_ablation,-0.02083,0.04083,-0.06167,0.00436,0.01389,0,8
actuator_limit_chain,topology_world_model_v5,topology_world_model_v4,0.00000,0.00000,-0.02937,-0.00575,0.01432,0,8
combined_extreme_stress,topology_world_model_v5,conformal_graph_guard,-0.02083,0.04083,0.01688,0.00633,0.00564,0,8
combined_extreme_stress,topology_world_model_v5,contact_implicit_mpc_baseline,0.00000,0.00000,-0.06507,0.04585,0.18403,0,8
combined_extreme_stress,topology_world_model_v5,distance_threshold_graph,0.00000,0.00000,-0.06969,0.03939,0.18446,0,8
combined_extreme_stress,topology_world_model_v5,ensemble_uncertainty_planner,0.00000,0.00000,-0.21516,-0.06087,0.05946,0,8
combined_extreme_stress,topology_world_model_v5,hist_gradient_topology_planner,0.00000,0.00000,-0.34628,-0.08876,0.16710,0,8
combined_extreme_stress,topology_world_model_v5,last_contact_persistence,0.00000,0.00000,-0.26313,-0.06234,0.14974,0,8
combined_extreme_stress,topology_world_model_v5,oracle_topology_planner,-0.08333,0.12347,-0.42890,-0.11469,-0.05989,0,8
