split,reference,comparison,paired_success_diff,ci95_success_diff,paired_edge_f1_diff,paired_graph_edit_reduction,paired_safety_reduction,reference_better_seeds,seeds
combined_extreme_stress,topology_world_model_v5,pairwise_contact_classifier,0.00000,0.00000,-0.17874,-0.02718,0.21615,0,8
combined_extreme_stress,topology_world_model_v5,random_forest_topology_planner,0.00000,0.00000,-0.00004,-0.03613,0.17361,0,8
combined_extreme_stress,topology_world_model_v5,risk_averse_graph_planner,0.00000,0.00000,0.16493,0.02409,-0.05989,0,8
combined_extreme_stress,topology_world_model_v5,robust_contact_mpc,0.00000,0.00000,-0.02218,0.06749,0.17101,0,8
combined_extreme_stress,topology_world_model_v5,state_only_dynamics_model,0.00000,0.00000,-0.13474,0.01660,0.19358,0,8
combined_extreme_stress,topology_world_model_v5,topology_no_memory_ablation,0.00000,0.00000,-0.15495,-0.03190,0.17491,0,8
combined_extreme_stress,topology_world_model_v5,topology_world_model_v4,0.00000,0.00000,-0.00100,0.00423,0.02214,0,8
combined_stress,topology_world_model_v5,conformal_graph_guard,-0.02083,0.04083,-0.03178,-0.01461,-0.02821,0,8
combined_stress,topology_world_model_v5,contact_implicit_mpc_baseline,-0.04167,0.05346,-0.19356,-0.05783,-0.02474,0,8
combined_stress,topology_world_model_v5,distance_threshold_graph,-0.04167,0.05346,-0.20106,-0.06031,-0.02214,0,8
combined_stress,topology_world_model_v5,ensemble_uncertainty_planner,-0.02083,0.04083,-0.06928,-0.00861,0.09201,0,8
combined_stress,topology_world_model_v5,hist_gradient_topology_planner,-0.04167,0.05346,-0.14625,-0.03280,-0.01693,0,8
combined_stress,topology_world_model_v5,last_contact_persistence,-0.04167,0.05346,-0.18997,-0.06585,0.00391,0,8
combined_stress,topology_world_model_v5,oracle_topology_planner,-0.16667,0.06173,-0.33745,-0.12068,-0.33116,0,8
combined_stress,topology_world_model_v5,pairwise_contact_classifier,-0.06250,0.05977,-0.07573,0.00226,0.00564,0,8
combined_stress,topology_world_model_v5,random_forest_topology_planner,-0.04167,0.05346,0.25433,0.05449,0.00477,0,8
combined_stress,topology_world_model_v5,risk_averse_graph_planner,-0.02083,0.04083,0.29500,0.03432,-0.16536,0,8
combined_stress,topology_world_model_v5,robust_contact_mpc,-0.04167,0.05346,-0.17014,-0.03938,0.01432,0,8
combined_stress,topology_world_model_v5,state_only_dynamics_model,-0.04167,0.05346,-0.22869,-0.06026,-0.01215,0,8
combined_stress,topology_world_model_v5,topology_no_memory_ablation,-0.04167,0.05346,-0.08848,-0.00612,0.00347,0,8
combined_stress,topology_world_model_v5,topology_world_model_v4,-0.02083,0.04083,-0.03604,-0.00648,-0.00868,0,8
contact_chain_transfer,topology_world_model_v5,conformal_graph_guard,-0.04167,0.08167,0.00485,0.00254,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,contact_implicit_mpc_baseline,-0.02083,0.07402,-0.06970,-0.02526,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,distance_threshold_graph,-0.02083,0.07402,-0.06854,-0.02493,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,ensemble_uncertainty_planner,-0.02083,0.07402,0.01912,0.02434,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,hist_gradient_topology_planner,-0.02083,0.07402,-0.00875,0.01228,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,last_contact_persistence,-0.02083,0.07402,-0.08156,-0.03468,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,oracle_topology_planner,-0.10417,0.08593,-0.12535,-0.04557,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,pairwise_contact_classifier,-0.02083,0.07402,-0.01781,0.00716,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,random_forest_topology_planner,-0.02083,0.07402,0.61877,0.09581,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,risk_averse_graph_planner,-0.02083,0.07402,0.39360,0.05513,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,robust_contact_mpc,-0.02083,0.07402,-0.08269,-0.03154,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,state_only_dynamics_model,-0.02083,0.07402,-0.11233,-0.03878,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,topology_no_memory_ablation,-0.02083,0.07402,-0.02330,0.00343,0.00000,1,8
contact_chain_transfer,topology_world_model_v5,topology_world_model_v4,0.02083,0.04083,0.01983,0.00684,0.00000,1,8
contact_sensor_noise_burst,topology_world_model_v5,conformal_graph_guard,0.02083,0.07402,-0.05012,-0.01693,0.01476,2,8
contact_sensor_noise_burst,topology_world_model_v5,contact_implicit_mpc_baseline,-0.04167,0.05346,-0.24314,-0.11430,0.00000,0,8
contact_sensor_noise_burst,topology_world_model_v5,distance_threshold_graph,-0.00000,0.06173,-0.24612,-0.11793,0.01476,1,8
contact_sensor_noise_burst,topology_world_model_v5,ensemble_uncertainty_planner,-0.02083,0.07402,0.04798,0.03253,0.01172,1,8
contact_sensor_noise_burst,topology_world_model_v5,hist_gradient_topology_planner,-0.00000,0.06173,-0.03081,0.00134,0.01476,1,8
contact_sensor_noise_burst,topology_world_model_v5,last_contact_persistence,-0.02083,0.04083,-0.22109,-0.10536,0.00000,0,8
contact_sensor_noise_burst,topology_world_model_v5,oracle_topology_planner,-0.00000,0.13804,-0.30446,-0.13809,-0.01693,2,8
contact_sensor_noise_burst,topology_world_model_v5,pairwise_contact_classifier,-0.16667,0.12347,0.02462,0.03688,0.00000,1,8
contact_sensor_noise_burst,topology_world_model_v5,random_forest_topology_planner,-0.00000,0.06173,0.11825,0.04771,0.01476,1,8
contact_sensor_noise_burst,topology_world_model_v5,risk_averse_graph_planner,-0.06250,0.08593,0.16526,0.02141,-0.01693,1,8
contact_sensor_noise_burst,topology_world_model_v5,robust_contact_mpc,-0.02083,0.07402,-0.23463,-0.10506,0.01476,1,8
contact_sensor_noise_burst,topology_world_model_v5,state_only_dynamics_model,-0.00000,0.06173,-0.24828,-0.09924,0.02734,1,8
contact_sensor_noise_burst,topology_world_model_v5,topology_no_memory_ablation,-0.06250,0.10581,0.03615,0.03380,0.01476,1,8
contact_sensor_noise_burst,topology_world_model_v5,topology_world_model_v4,-0.02084,0.07402,-0.07268,-0.01993,0.01476,1,8
delayed_topology_transition,topology_world_model_v5,conformal_graph_guard,0.00000,0.00000,-0.05476,-0.00011,0.07639,0,8
delayed_topology_transition,topology_world_model_v5,contact_implicit_mpc_baseline,0.00000,0.00000,-0.73304,-0.13808,0.23655,0,8
delayed_topology_transition,topology_world_model_v5,distance_threshold_graph,0.00000,0.00000,-0.73090,-0.13694,0.23698,0,8
delayed_topology_transition,topology_world_model_v5,ensemble_uncertainty_planner,0.00000,0.00000,-0.42080,-0.05013,0.18620,0,8
delayed_topology_transition,topology_world_model_v5,hist_gradient_topology_planner,0.00000,0.00000,-0.51050,-0.06766,0.23655,0,8
delayed_topology_transition,topology_world_model_v5,last_contact_persistence,0.00000,0.00000,-0.76874,-0.16764,0.23698,0,8
delayed_topology_transition,topology_world_model_v5,oracle_topology_planner,-0.02083,0.04083,-0.82112,-0.18538,-0.57552,0,8
delayed_topology_transition,topology_world_model_v5,pairwise_contact_classifier,0.00000,0.00000,-0.33327,0.03771,0.23568,0,8
delayed_topology_transition,topology_world_model_v5,random_forest_topology_planner,0.00000,0.00000,0.01211,0.04579,0.21918,0,8
delayed_topology_transition,topology_world_model_v5,risk_averse_graph_planner,0.00000,0.00000,0.08327,-0.00374,-0.55208,0,8
delayed_topology_transition,topology_world_model_v5,robust_contact_mpc,0.00000,0.00000,-0.68521,-0.10075,0.23611,0,8
delayed_topology_transition,topology_world_model_v5,state_only_dynamics_model,0.00000,0.00000,-0.81419,-0.18213,0.23655,0,8
delayed_topology_transition,topology_world_model_v5,topology_no_memory_ablation,0.00000,0.00000,-0.32928,0.03700,0.23568,0,8
delayed_topology_transition,topology_world_model_v5,topology_world_model_v4,0.00000,0.00000,-0.03707,0.00081,0.02127,0,8
distractor_contact,topology_world_model_v5,conformal_graph_guard,-0.02083,0.09638,-0.09008,-0.01161,0.00000,1,8
distractor_contact,topology_world_model_v5,contact_implicit_mpc_baseline,-0.00000,0.06173,-0.51450,-0.12096,0.00000,1,8
distractor_contact,topology_world_model_v5,distance_threshold_graph,-0.00000,0.06173,-0.51630,-0.12075,0.00000,1,8
distractor_contact,topology_world_model_v5,ensemble_uncertainty_planner,-0.10417,0.10581,-0.38267,-0.07286,0.00000,0,8
distractor_contact,topology_world_model_v5,hist_gradient_topology_planner,-0.00000,0.06173,-0.47522,-0.08494,0.00000,1,8
distractor_contact,topology_world_model_v5,last_contact_persistence,-0.00000,0.06173,-0.57362,-0.14811,0.00000,1,8
distractor_contact,topology_world_model_v5,oracle_topology_planner,-0.06250,0.10581,-0.63944,-0.16734,0.00000,1,8
distractor_contact,topology_world_model_v5,pairwise_contact_classifier,-0.02084,0.07402,-0.47747,-0.08555,0.00000,1,8
distractor_contact,topology_world_model_v5,random_forest_topology_planner,-0.02083,0.07402,-0.38187,-0.06562,0.00000,1,8
distractor_contact,topology_world_model_v5,risk_averse_graph_planner,0.06250,0.08593,0.11034,0.00605,0.00000,2,8
distractor_contact,topology_world_model_v5,robust_contact_mpc,-0.00000,0.06173,-0.51522,-0.12135,0.00000,1,8
distractor_contact,topology_world_model_v5,state_only_dynamics_model,-0.00000,0.06173,-0.56424,-0.13847,0.00000,1,8
distractor_contact,topology_world_model_v5,topology_no_memory_ablation,-0.04167,0.13455,-0.47130,-0.08563,0.00000,1,8
distractor_contact,topology_world_model_v5,topology_world_model_v4,-0.02084,0.07402,-0.05167,-0.01356,0.00000,1,8
fixture_near_wall_jam,topology_world_model_v5,conformal_graph_guard,0.00000,0.00000,-0.00752,-0.00109,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,contact_implicit_mpc_baseline,0.00000,0.00000,-0.27257,-0.06446,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,distance_threshold_graph,0.00000,0.00000,-0.27460,-0.06413,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,ensemble_uncertainty_planner,0.00000,0.00000,-0.14887,-0.03917,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,hist_gradient_topology_planner,0.00000,0.00000,-0.20587,-0.05653,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,last_contact_persistence,0.00000,0.00000,-0.24139,-0.05702,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,oracle_topology_planner,-0.06250,0.05978,-0.31670,-0.07091,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,pairwise_contact_classifier,0.00000,0.00000,0.05657,0.00901,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,random_forest_topology_planner,0.00000,0.00000,-0.17564,-0.05241,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,risk_averse_graph_planner,0.00000,0.00000,0.39430,0.11100,0.01562,0,8
fixture_near_wall_jam,topology_world_model_v5,robust_contact_mpc,0.00000,0.00000,-0.26693,-0.06386,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,state_only_dynamics_model,0.00000,0.00000,-0.27156,-0.06429,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,topology_no_memory_ablation,0.00000,0.00000,0.01625,-0.00049,0.00000,0,8
fixture_near_wall_jam,topology_world_model_v5,topology_world_model_v4,0.00000,0.00000,0.01005,0.00179,0.00000,0,8
fixture_topology_shift,topology_world_model_v5,conformal_graph_guard,-0.02083,0.04083,0.00846,0.00714,0.03646,0,8
fixture_topology_shift,topology_world_model_v5,contact_implicit_mpc_baseline,0.00000,0.00000,0.05643,0.06299,0.12109,0,8
fixture_topology_shift,topology_world_model_v5,distance_threshold_graph,0.00000,0.00000,0.05030,0.05838,0.11111,0,8
fixture_topology_shift,topology_world_model_v5,ensemble_uncertainty_planner,-0.02083,0.04083,-0.07899,-0.01057,0.13628,0,8
fixture_topology_shift,topology_world_model_v5,hist_gradient_topology_planner,0.00000,0.00000,-0.15579,-0.04514,0.11936,0,8
fixture_topology_shift,topology_world_model_v5,last_contact_persistence,0.00000,0.00000,-0.11664,-0.03575,0.12326,0,8
fixture_topology_shift,topology_world_model_v5,oracle_topology_planner,-0.10417,0.08593,-0.24397,-0.07747,-0.20616,0,8
fixture_topology_shift,topology_world_model_v5,pairwise_contact_classifier,0.00000,0.00000,-0.02593,0.00234,0.11936,0,8
fixture_topology_shift,topology_world_model_v5,random_forest_topology_planner,0.00000,0.00000,0.31973,0.02610,0.13325,0,8
fixture_topology_shift,topology_world_model_v5,risk_averse_graph_planner,0.00000,0.00000,0.14589,0.03944,-0.01866,0,8
fixture_topology_shift,topology_world_model_v5,robust_contact_mpc,0.00000,0.00000,0.08900,0.09228,0.12196,0,8
fixture_topology_shift,topology_world_model_v5,state_only_dynamics_model,0.00000,0.00000,0.01764,0.04335,0.11979,0,8
fixture_topology_shift,topology_world_model_v5,topology_no_memory_ablation,0.00000,0.00000,-0.00835,0.00847,0.12326,0,8
fixture_topology_shift,topology_world_model_v5,topology_world_model_v4,0.00000,0.00000,-0.01477,-0.00054,0.02387,0,8
friction_mass_shift,topology_world_model_v5,conformal_graph_guard,0.02083,0.04083,-0.03684,-0.00908,0.00000,1,8
friction_mass_shift,topology_world_model_v5,contact_implicit_mpc_baseline,-0.08333,0.06173,-0.33847,-0.09375,0.00000,0,8
friction_mass_shift,topology_world_model_v5,distance_threshold_graph,-0.08333,0.06173,-0.33646,-0.09298,0.00000,0,8
friction_mass_shift,topology_world_model_v5,ensemble_uncertainty_planner,-0.12500,0.13455,-0.12167,0.00224,0.00000,1,8
friction_mass_shift,topology_world_model_v5,hist_gradient_topology_planner,-0.08333,0.06173,-0.18984,-0.01043,0.00000,0,8
friction_mass_shift,topology_world_model_v5,last_contact_persistence,-0.08333,0.06173,-0.34716,-0.10207,0.00000,0,8
friction_mass_shift,topology_world_model_v5,oracle_topology_planner,-0.22917,0.12250,-0.41383,-0.12206,0.00000,0,8
friction_mass_shift,topology_world_model_v5,pairwise_contact_classifier,-0.08333,0.10693,-0.16115,0.02290,0.00000,1,8
friction_mass_shift,topology_world_model_v5,random_forest_topology_planner,-0.08333,0.06173,0.25695,0.05531,0.00000,0,8
friction_mass_shift,topology_world_model_v5,risk_averse_graph_planner,-0.02083,0.09638,0.20489,0.02561,0.00000,1,8
friction_mass_shift,topology_world_model_v5,robust_contact_mpc,-0.08333,0.06173,-0.34385,-0.09349,0.00000,0,8
friction_mass_shift,topology_world_model_v5,state_only_dynamics_model,-0.08333,0.06173,-0.38660,-0.10808,0.00000,0,8
friction_mass_shift,topology_world_model_v5,topology_no_memory_ablation,-0.10417,0.08593,-0.17290,0.02272,0.00000,0,8
friction_mass_shift,topology_world_model_v5,topology_world_model_v4,0.00000,0.06174,-0.02903,-0.00508,0.00000,1,8
nominal_push_to_pocket,topology_world_model_v5,conformal_graph_guard,-0.02083,0.04083,-0.01970,-0.00423,0.00000,0,8
nominal_push_to_pocket,topology_world_model_v5,contact_implicit_mpc_baseline,-0.06250,0.05977,-0.33449,-0.14190,0.00000,0,8
nominal_push_to_pocket,topology_world_model_v5,distance_threshold_graph,-0.06250,0.05977,-0.33861,-0.14244,0.00000,0,8
nominal_push_to_pocket,topology_world_model_v5,ensemble_uncertainty_planner,-0.06250,0.08593,0.02383,0.03459,0.00000,0,8
nominal_push_to_pocket,topology_world_model_v5,hist_gradient_topology_planner,-0.06250,0.05977,-0.18830,-0.03623,0.00000,0,8
nominal_push_to_pocket,topology_world_model_v5,last_contact_persistence,-0.06250,0.05977,-0.32956,-0.13601,0.00000,0,8
nominal_push_to_pocket,topology_world_model_v5,oracle_topology_planner,0.00000,0.08730,-0.38024,-0.15038,0.00000,2,8
nominal_push_to_pocket,topology_world_model_v5,pairwise_contact_classifier,-0.06250,0.08593,-0.06394,-0.00117,0.00000,1,8
nominal_push_to_pocket,topology_world_model_v5,random_forest_topology_planner,-0.06250,0.05977,0.10631,0.07707,0.00000,0,8
nominal_push_to_pocket,topology_world_model_v5,risk_averse_graph_planner,-0.08333,0.12347,0.11105,0.01583,0.00000,1,8
nominal_push_to_pocket,topology_world_model_v5,robust_contact_mpc,-0.06250,0.05977,-0.34100,-0.14209,0.00000,0,8
nominal_push_to_pocket,topology_world_model_v5,state_only_dynamics_model,-0.06250,0.05977,-0.26226,-0.06073,0.00000,0,8
nominal_push_to_pocket,topology_world_model_v5,topology_no_memory_ablation,-0.08333,0.08731,-0.05934,-0.00190,0.00000,1,8
nominal_push_to_pocket,topology_world_model_v5,topology_world_model_v4,-0.08333,0.06173,-0.06570,-0.00914,0.00000,0,8
pocket_relocation,topology_world_model_v5,conformal_graph_guard,-0.06250,0.10581,-0.01707,0.00532,0.00000,1,8
pocket_relocation,topology_world_model_v5,contact_implicit_mpc_baseline,0.04167,0.08167,-0.35390,-0.13985,0.00000,3,8
pocket_relocation,topology_world_model_v5,distance_threshold_graph,0.04167,0.08167,-0.35586,-0.14022,0.00000,3,8
pocket_relocation,topology_world_model_v5,ensemble_uncertainty_planner,0.08333,0.13804,0.02209,-0.01658,0.01736,4,8
pocket_relocation,topology_world_model_v5,hist_gradient_topology_planner,0.04167,0.08167,-0.10229,0.00042,0.00000,3,8
pocket_relocation,topology_world_model_v5,last_contact_persistence,0.04167,0.08167,-0.35385,-0.14124,0.00000,3,8
pocket_relocation,topology_world_model_v5,oracle_topology_planner,0.12500,0.11955,-0.41038,-0.15732,-0.01693,5,8
pocket_relocation,topology_world_model_v5,pairwise_contact_classifier,-0.04167,0.11955,-0.05369,0.04052,0.00000,2,8
pocket_relocation,topology_world_model_v5,random_forest_topology_planner,0.04167,0.08167,0.04652,0.05898,0.00000,3,8
pocket_relocation,topology_world_model_v5,risk_averse_graph_planner,-0.00000,0.12347,0.07667,0.00422,0.00043,3,8
pocket_relocation,topology_world_model_v5,robust_contact_mpc,0.04167,0.08167,-0.35369,-0.14061,0.00000,3,8
pocket_relocation,topology_world_model_v5,state_only_dynamics_model,0.04167,0.08167,-0.35996,-0.12181,0.00000,3,8
pocket_relocation,topology_world_model_v5,topology_no_memory_ablation,-0.04167,0.11955,-0.04871,0.04234,0.00000,2,8
pocket_relocation,topology_world_model_v5,topology_world_model_v4,-0.12500,0.08167,0.00492,0.02061,0.00000,0,8
