variant,split,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_calibration_error,seeds,episodes_per_seed
observed_only_behavior_clone,nominal,0.5890,0.0181,0.4110,0.0181,0.0177,7,600
observed_only_behavior_clone,hidden_mode_shift,0.3969,0.0172,0.6031,0.0172,0.0172,7,600
observed_only_behavior_clone,embodiment_shift,0.4443,0.0159,0.5557,0.0159,0.0145,7,600
observed_only_behavior_clone,combined_stress,0.3274,0.0127,0.6726,0.0127,0.0112,7,600
data_augmentation_wam,nominal,0.6457,0.0154,0.3543,0.0154,0.0130,7,600
data_augmentation_wam,hidden_mode_shift,0.4871,0.0151,0.5129,0.0151,0.0120,7,600
data_augmentation_wam,embodiment_shift,0.5026,0.0250,0.4974,0.0250,0.0266,7,600
data_augmentation_wam,combined_stress,0.4240,0.0211,0.5760,0.0211,0.0186,7,600
scalar_uncertainty_planner,nominal,0.6850,0.0103,0.3150,0.0103,0.0130,7,600
scalar_uncertainty_planner,hidden_mode_shift,0.5576,0.0093,0.4424,0.0093,0.0109,7,600
scalar_uncertainty_planner,embodiment_shift,0.5631,0.0175,0.4369,0.0175,0.0249,7,600
scalar_uncertainty_planner,combined_stress,0.5014,0.0193,0.4986,0.0193,0.0194,7,600
ensemble_disagreement_planner,nominal,0.6943,0.0171,0.3057,0.0171,0.0189,7,600
ensemble_disagreement_planner,hidden_mode_shift,0.5993,0.0141,0.4007,0.0141,0.0153,7,600
ensemble_disagreement_planner,embodiment_shift,0.6229,0.0184,0.3771,0.0184,0.0179,7,600
ensemble_disagreement_planner,combined_stress,0.5445,0.0180,0.4555,0.0180,0.0213,7,600
conformal_risk_filter,nominal,0.7129,0.0175,0.2871,0.0175,0.0153,7,600
conformal_risk_filter,hidden_mode_shift,0.6140,0.0128,0.3860,0.0128,0.0144,7,600
conformal_risk_filter,embodiment_shift,0.6102,0.0194,0.3898,0.0194,0.0257,7,600
conformal_risk_filter,combined_stress,0.5619,0.0225,0.4381,0.0225,0.0190,7,600
proposed_branch_mechanism,nominal,0.7495,0.0185,0.2505,0.0185,0.0152,7,600
proposed_branch_mechanism,hidden_mode_shift,0.6862,0.0157,0.3138,0.0157,0.0164,7,600
proposed_branch_mechanism,embodiment_shift,0.6938,0.0113,0.3062,0.0113,0.0137,7,600
proposed_branch_mechanism,combined_stress,0.6490,0.0152,0.3510,0.0152,0.0148,7,600
oracle_branch_upper_bound,nominal,0.8107,0.0098,0.1893,0.0098,0.0116,7,600
oracle_branch_upper_bound,hidden_mode_shift,0.7550,0.0155,0.2450,0.0155,0.0186,7,600
oracle_branch_upper_bound,embodiment_shift,0.7681,0.0130,0.2319,0.0130,0.0140,7,600
oracle_branch_upper_bound,combined_stress,0.7369,0.0137,0.2631,0.0137,0.0128,7,600
