split,reference,comparison,paired_success_diff,ci95_success_diff,paired_edge_f1_diff,paired_graph_edit_reduction,paired_safety_reduction,reference_better_seeds,seeds
combined_stress,topology_world_model,contact_implicit_mpc_baseline,0.00000,0.00000,-0.25076,-0.14960,0.12444,0,7
combined_stress,topology_world_model,distance_threshold_graph,0.00000,0.00000,-0.26113,-0.15354,0.12640,0,7
combined_stress,topology_world_model,ensemble_uncertainty_planner,-0.01786,0.03500,0.24608,0.06703,0.07813,0,7
combined_stress,topology_world_model,last_contact_persistence,0.00000,0.00000,-0.24965,-0.15614,0.15290,0,7
combined_stress,topology_world_model,oracle_topology_planner,-0.14286,0.06390,-0.38972,-0.20885,-0.15848,0,7
combined_stress,topology_world_model,pairwise_contact_classifier,0.00000,0.00000,0.06968,0.02601,0.11105,0,7
combined_stress,topology_world_model,state_only_dynamics_model,0.00000,0.00000,-0.29395,-0.16579,0.13839,0,7
contact_chain_transfer,topology_world_model,contact_implicit_mpc_baseline,0.00000,0.00000,-0.34793,-0.17241,0.00000,0,7
contact_chain_transfer,topology_world_model,distance_threshold_graph,0.00000,0.00000,-0.34696,-0.17199,0.00000,0,7
contact_chain_transfer,topology_world_model,ensemble_uncertainty_planner,0.00000,0.00000,0.12186,0.03416,0.00000,0,7
contact_chain_transfer,topology_world_model,last_contact_persistence,0.00000,0.00000,-0.35918,-0.18142,0.00000,0,7
contact_chain_transfer,topology_world_model,oracle_topology_planner,-0.08929,0.04518,-0.39678,-0.19162,0.00000,0,7
contact_chain_transfer,topology_world_model,pairwise_contact_classifier,0.00000,0.00000,0.00238,0.01392,0.00000,0,7
contact_chain_transfer,topology_world_model,state_only_dynamics_model,0.00000,0.00000,-0.38596,-0.18759,0.00000,0,7
fixture_topology_shift,topology_world_model,contact_implicit_mpc_baseline,0.03571,0.07000,-0.16667,-0.07670,0.15569,1,7
fixture_topology_shift,topology_world_model,distance_threshold_graph,0.03571,0.07000,-0.16883,-0.07922,0.14453,1,7
fixture_topology_shift,topology_world_model,ensemble_uncertainty_planner,0.01786,0.03500,0.01837,-0.02848,0.09236,1,7
fixture_topology_shift,topology_world_model,last_contact_persistence,0.03571,0.07000,-0.34070,-0.17506,0.16853,1,7
fixture_topology_shift,topology_world_model,oracle_topology_planner,-0.07143,0.10500,-0.46614,-0.21806,-0.21763,1,7
fixture_topology_shift,topology_world_model,pairwise_contact_classifier,0.03571,0.07000,0.02966,-0.00259,0.14816,1,7
fixture_topology_shift,topology_world_model,state_only_dynamics_model,0.03571,0.07000,-0.19897,-0.09686,0.16937,1,7
friction_mass_shift,topology_world_model,contact_implicit_mpc_baseline,0.00000,0.00000,-0.30733,-0.17381,0.00000,0,7
friction_mass_shift,topology_world_model,distance_threshold_graph,0.00000,0.00000,-0.30493,-0.17257,0.00000,0,7
friction_mass_shift,topology_world_model,ensemble_uncertainty_planner,0.00000,0.00000,0.37665,0.11290,0.00000,0,7
friction_mass_shift,topology_world_model,last_contact_persistence,0.00000,0.00000,-0.32632,-0.18648,0.00000,0,7
friction_mass_shift,topology_world_model,oracle_topology_planner,-0.12500,0.14145,-0.38336,-0.20414,0.00000,1,7
friction_mass_shift,topology_world_model,pairwise_contact_classifier,0.00000,0.00000,-0.02769,-0.00733,0.00000,0,7
friction_mass_shift,topology_world_model,state_only_dynamics_model,0.00000,0.00000,-0.33974,-0.18152,0.00000,0,7
nominal_push_to_pocket,topology_world_model,contact_implicit_mpc_baseline,0.00000,0.00000,-0.30912,-0.23269,0.00000,0,7
nominal_push_to_pocket,topology_world_model,distance_threshold_graph,0.00000,0.00000,-0.31623,-0.23360,0.00000,0,7
nominal_push_to_pocket,topology_world_model,ensemble_uncertainty_planner,-0.05357,0.07286,0.29281,0.12433,0.00000,0,7
nominal_push_to_pocket,topology_world_model,last_contact_persistence,0.00000,0.00000,-0.30656,-0.22722,0.00000,0,7
nominal_push_to_pocket,topology_world_model,oracle_topology_planner,0.03571,0.07000,-0.34789,-0.23961,0.00000,3,7
nominal_push_to_pocket,topology_world_model,pairwise_contact_classifier,0.00000,0.00000,0.04299,0.01992,0.00000,0,7
nominal_push_to_pocket,topology_world_model,state_only_dynamics_model,0.00000,0.00000,-0.33672,-0.23368,0.00000,0,7
