method,split,seed,episode,stress_level,success,edge_f1,birth_f1,death_f1,graph_edit,component_accuracy,jam_f1,safety_violation_rate,chain_contact_rate,pocket_contact_rate,fixture_contact_rate,wall_contact_rate,final_progress,final_y_error,energy,trajectory_samples
pairwise_contact_classifier,stress_sweep,0,2000,0.00,0,0.41719,0.07292,0.07812,0.35938,0.07812,0.88462,0.00000,0.96875,0.92188,0.00000,0.00000,0.81921,0.05290,11.68299,"0:b(0.029,-0.038):p0.00:e[none];10:b(0.358,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];50:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];60:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];63:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
ensemble_uncertainty_planner,stress_sweep,0,2000,0.00,0,0.13906,0.04688,0.08854,0.38672,0.21875,0.38889,0.00000,0.35938,0.92188,0.00000,0.00000,0.81921,0.05472,14.48586,"0:b(0.029,-0.038):p0.00:e[none];10:b(0.358,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.040):p0.82:e[pusher_block_b,block_b_pocket];40:b(0.357,-0.040):p0.82:e[pusher_block_b,block_b_pocket];50:b(0.357,-0.040):p0.82:e[pusher_block_b,block_b_pocket];60:b(0.357,-0.040):p0.82:e[pusher_block_b,block_b_pocket];63:b(0.357,-0.040):p0.82:e[pusher_block_b,block_b_pocket]"
contact_implicit_mpc_baseline,stress_sweep,0,2000,0.00,0,0.97917,0.96875,1.00000,0.00391,0.96875,0.00000,0.00000,0.96875,0.92188,0.00000,0.00000,0.81921,0.05247,11.68623,"0:b(0.029,-0.038):p0.00:e[none];10:b(0.358,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];50:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];60:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];63:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
topology_world_model,stress_sweep,0,2000,0.00,0,0.66510,0.03125,0.06771,0.24414,0.98438,0.88462,0.00000,0.96875,0.92188,0.00000,0.00000,0.81921,0.05313,11.68931,"0:b(0.029,-0.038):p0.00:e[none];10:b(0.358,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];50:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];60:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket];63:b(0.357,-0.038):p0.82:e[pusher_block_a,block_a_block_b,block_b_pocket]"
oracle_topology_planner,stress_sweep,0,2000,0.00,0,1.00000,1.00000,1.00000,0.00000,1.00000,1.00000,0.00000,0.06250,0.06250,0.00000,0.00000,0.78949,0.07147,106.33502,"0:b(0.029,-0.038):p0.00:e[none];10:b(0.276,-0.051):p0.62:e[none];20:b(0.346,-0.055):p0.79:e[none];30:b(0.355,-0.057):p0.81:e[none];40:b(0.352,-0.057):p0.80:e[none];50:b(0.349,-0.057):p0.80:e[none];60:b(0.346,-0.057):p0.79:e[none];63:b(0.345,-0.057):p0.79:e[none]"
pairwise_contact_classifier,stress_sweep,0,2001,0.00,0,0.65469,0.04688,0.04688,0.24805,0.96875,0.88462,0.00000,0.96875,0.92188,0.00000,0.00000,0.80465,0.04974,11.25470,"0:b(0.058,-0.039):p0.00:e[none];10:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];50:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];60:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];63:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket]"
ensemble_uncertainty_planner,stress_sweep,0,2001,0.00,0,0.31198,0.06250,0.16406,0.35156,0.04688,0.74074,0.00000,0.85938,0.81250,0.00000,0.00000,0.79761,0.05889,25.70259,"0:b(0.058,-0.039):p0.00:e[none];10:b(0.357,-0.039):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.040):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.041):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.042):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];50:b(0.357,-0.044):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];60:b(0.356,-0.047):p0.80:e[none];63:b(0.355,-0.048):p0.80:e[none]"
contact_implicit_mpc_baseline,stress_sweep,0,2001,0.00,0,0.97917,0.96875,1.00000,0.00391,0.96875,0.00000,0.00000,0.96875,0.92188,0.00000,0.00000,0.80465,0.04997,11.25180,"0:b(0.058,-0.039):p0.00:e[none];10:b(0.357,-0.039):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.039):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.039):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.039):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];50:b(0.357,-0.039):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];60:b(0.357,-0.039):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];63:b(0.357,-0.039):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket]"
topology_world_model,stress_sweep,0,2001,0.00,0,0.66510,0.03125,0.08333,0.24414,0.98438,0.88462,0.00000,0.96875,0.92188,0.00000,0.00000,0.80465,0.04970,11.23747,"0:b(0.058,-0.039):p0.00:e[none];10:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];30:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];40:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];50:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];60:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];63:b(0.357,-0.038):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket]"
oracle_topology_planner,stress_sweep,0,2001,0.00,0,1.00000,1.00000,1.00000,0.00000,1.00000,1.00000,0.00000,0.21875,0.15625,0.00000,0.01562,0.57586,0.08029,52.53423,"0:b(0.058,-0.039):p0.00:e[none];10:b(0.357,-0.001):p0.80:e[pusher_block_a,block_a_block_b,block_b_pocket];20:b(0.346,-0.009):p0.78:e[none];30:b(0.324,-0.028):p0.71:e[none];40:b(0.305,-0.043):p0.66:e[none];50:b(0.289,-0.056):p0.62:e[none];60:b(0.276,-0.066):p0.59:e[none];63:b(0.272,-0.069):p0.58:e[none]"
