budget,method,episodes,success_at_budget,mean_diagnostic_risk,mean_safety_violation_rate,mean_fixture_contact_rate,mean_wall_contact_rate,mean_jam_f1
0.05,conformal_graph_guard,528,0.00000,0.44117,0.18209,0.14047,0.00940,0.49507
0.05,contact_implicit_mpc_baseline,528,0.00000,0.44265,0.22376,0.22070,0.00505,0.60606
0.05,distance_threshold_graph,528,0.00000,0.43869,0.22151,0.21806,0.00485,0.60795
0.05,ensemble_uncertainty_planner,528,0.00000,0.42624,0.22376,0.21738,0.00744,0.62512
0.05,hist_gradient_topology_planner,528,0.00000,0.40336,0.22281,0.22050,0.00497,0.70076
0.05,last_contact_persistence,528,0.00379,0.40135,0.22210,0.21948,0.00513,0.68848
0.05,oracle_topology_planner,528,0.01326,0.26900,0.00000,0.00645,0.00678,0.56061
0.05,pairwise_contact_classifier,528,0.01136,0.40626,0.22779,0.21717,0.00643,0.55501
0.05,random_forest_topology_planner,528,0.00189,0.39776,0.22487,0.22129,0.00537,0.69303
0.05,risk_averse_graph_planner,528,0.00000,0.42399,0.07588,0.06907,0.01440,0.39915
0.05,robust_contact_mpc,528,0.00000,0.45542,0.22459,0.22149,0.00513,0.56174
0.05,state_only_dynamics_model,528,0.00000,0.43342,0.22502,0.22161,0.00564,0.62039
0.05,topology_no_memory_ablation,528,0.00758,0.40593,0.22400,0.21135,0.00647,0.55654
0.05,topology_world_model_v4,528,0.00000,0.45003,0.18052,0.14394,0.00900,0.48218
0.05,topology_world_model_v5,528,0.00000,0.43877,0.17255,0.12756,0.00868,0.48989
0.10,conformal_graph_guard,528,0.00000,0.44117,0.18209,0.14047,0.00940,0.49507
0.10,contact_implicit_mpc_baseline,528,0.00000,0.44265,0.22376,0.22070,0.00505,0.60606
0.10,distance_threshold_graph,528,0.00000,0.43869,0.22151,0.21806,0.00485,0.60795
0.10,ensemble_uncertainty_planner,528,0.00000,0.42624,0.22376,0.21738,0.00744,0.62512
0.10,hist_gradient_topology_planner,528,0.00000,0.40336,0.22281,0.22050,0.00497,0.70076
0.10,last_contact_persistence,528,0.00379,0.40135,0.22210,0.21948,0.00513,0.68848
0.10,oracle_topology_planner,528,0.01326,0.26900,0.00000,0.00645,0.00678,0.56061
0.10,pairwise_contact_classifier,528,0.01326,0.40626,0.22779,0.21717,0.00643,0.55501
0.10,random_forest_topology_planner,528,0.00189,0.39776,0.22487,0.22129,0.00537,0.69303
0.10,risk_averse_graph_planner,528,0.00000,0.42399,0.07588,0.06907,0.01440,0.39915
0.10,robust_contact_mpc,528,0.00000,0.45542,0.22459,0.22149,0.00513,0.56174
0.10,state_only_dynamics_model,528,0.00000,0.43342,0.22502,0.22161,0.00564,0.62039
0.10,topology_no_memory_ablation,528,0.01136,0.40593,0.22400,0.21135,0.00647,0.55654
0.10,topology_world_model_v4,528,0.00000,0.45003,0.18052,0.14394,0.00900,0.48218
0.10,topology_world_model_v5,528,0.00000,0.43877,0.17255,0.12756,0.00868,0.48989
0.20,conformal_graph_guard,528,0.00189,0.44117,0.18209,0.14047,0.00940,0.49507
0.20,contact_implicit_mpc_baseline,528,0.00000,0.44265,0.22376,0.22070,0.00505,0.60606
0.20,distance_threshold_graph,528,0.00000,0.43869,0.22151,0.21806,0.00485,0.60795
0.20,ensemble_uncertainty_planner,528,0.00000,0.42624,0.22376,0.21738,0.00744,0.62512
0.20,hist_gradient_topology_planner,528,0.00000,0.40336,0.22281,0.22050,0.00497,0.70076
0.20,last_contact_persistence,528,0.00379,0.40135,0.22210,0.21948,0.00513,0.68848
0.20,oracle_topology_planner,528,0.01326,0.26900,0.00000,0.00645,0.00678,0.56061
0.20,pairwise_contact_classifier,528,0.01515,0.40626,0.22779,0.21717,0.00643,0.55501
0.20,random_forest_topology_planner,528,0.00189,0.39776,0.22487,0.22129,0.00537,0.69303
0.20,risk_averse_graph_planner,528,0.00000,0.42399,0.07588,0.06907,0.01440,0.39915
0.20,robust_contact_mpc,528,0.00000,0.45542,0.22459,0.22149,0.00513,0.56174
0.20,state_only_dynamics_model,528,0.00000,0.43342,0.22502,0.22161,0.00564,0.62039
0.20,topology_no_memory_ablation,528,0.01326,0.40593,0.22400,0.21135,0.00647,0.55654
0.20,topology_world_model_v4,528,0.00000,0.45003,0.18052,0.14394,0.00900,0.48218
0.20,topology_world_model_v5,528,0.00000,0.43877,0.17255,0.12756,0.00868,0.48989
