method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_edge_f1,ci95_mean_edge_f1,mean_mean_birth_f1,ci95_mean_birth_f1,mean_mean_death_f1,ci95_mean_death_f1,mean_mean_graph_edit,ci95_mean_graph_edit,mean_mean_component_accuracy,ci95_mean_component_accuracy,mean_mean_jam_f1,ci95_mean_jam_f1,mean_mean_safety_violation_rate,ci95_mean_safety_violation_rate,mean_mean_chain_contact_rate,ci95_mean_chain_contact_rate,mean_mean_pocket_contact_rate,ci95_mean_pocket_contact_rate,mean_mean_fixture_contact_rate,ci95_mean_fixture_contact_rate,mean_mean_wall_contact_rate,ci95_mean_wall_contact_rate,mean_mean_final_progress,ci95_mean_final_progress,mean_mean_final_y_error,ci95_mean_final_y_error,mean_mean_energy,ci95_mean_energy
ablate_no_fixture_guard,combined_stress,8,4,0.09375,0.12890,0.70121,0.10951,0.60176,0.07968,0.76539,0.11964,0.10772,0.03918,0.45065,0.11306,0.65625,0.20576,0.22852,0.15356,0.15963,0.11093,0.15039,0.12523,0.17278,0.13519,0.01107,0.00450,0.61351,0.09389,0.11325,0.04336,21.33429,6.43112
ablate_no_fixture_guard,fixture_near_wall_jam,8,4,0.00000,0.00000,0.68782,0.10798,0.63889,0.10782,0.96224,0.01734,0.06982,0.02133,0.61003,0.11223,0.87500,0.13096,0.00000,0.00000,0.00065,0.00128,0.00065,0.00128,0.00065,0.00128,0.00781,0.00722,0.02432,0.04766,0.03400,0.00966,43.94916,14.21135
ablate_no_graph_memory,actuator_limit_chain,8,4,0.06250,0.08020,0.60103,0.11223,0.52118,0.10646,0.50391,0.12215,0.14465,0.02453,0.41771,0.11419,0.81250,0.12250,0.56901,0.11588,0.06549,0.06580,0.05339,0.05819,0.53385,0.13596,0.00911,0.00462,0.31213,0.10675,0.09940,0.02886,22.70494,8.26107
ablate_no_graph_memory,combined_extreme_stress,8,4,0.00000,0.00000,0.54308,0.07114,0.45236,0.05790,0.91563,0.05015,0.12622,0.01470,0.41406,0.07404,0.62500,0.09260,0.09375,0.07617,0.01107,0.01524,0.03841,0.05398,0.08463,0.03192,0.01367,0.00508,0.15810,0.18085,0.07835,0.04092,54.91773,9.97137
ablate_no_graph_memory,combined_stress,8,4,0.09375,0.08966,0.73977,0.08411,0.64210,0.06798,0.71135,0.10306,0.10117,0.02778,0.40417,0.10622,0.66071,0.20106,0.24023,0.13221,0.19297,0.12269,0.17253,0.10902,0.20182,0.11062,0.00976,0.00489,0.59864,0.11299,0.10712,0.04231,20.09310,5.12786
ablate_no_graph_memory,fixture_near_wall_jam,8,4,0.00000,0.00000,0.70822,0.12500,0.65028,0.12834,0.97557,0.01252,0.06568,0.02744,0.62760,0.13399,0.90625,0.12890,0.00000,0.00000,0.00065,0.00128,0.00065,0.00128,0.00065,0.00128,0.00651,0.00462,0.02465,0.04832,0.03542,0.00981,44.47987,16.45347
ablate_no_jam_slip,actuator_limit_chain,8,4,0.09375,0.08966,0.64807,0.07241,0.56500,0.10488,0.47347,0.10151,0.14173,0.02345,0.45210,0.09308,0.73438,0.11748,0.59440,0.12781,0.08644,0.07289,0.07245,0.06538,0.54250,0.11938,0.00847,0.00268,0.34897,0.11509,0.10538,0.03379,20.86711,7.27635
ablate_no_jam_slip,combined_extreme_stress,8,4,0.00000,0.00000,0.48804,0.06271,0.42001,0.05871,0.90504,0.05741,0.14518,0.02539,0.37956,0.03989,0.31250,0.12250,0.06901,0.06779,0.00977,0.01286,0.03711,0.05355,0.06836,0.02916,0.01758,0.00694,0.13721,0.08227,0.05927,0.02470,59.53009,8.87487
ablate_no_jam_slip,combined_stress,8,4,0.06250,0.08020,0.73310,0.09424,0.61370,0.07875,0.79612,0.07694,0.09330,0.02622,0.46354,0.10276,0.59821,0.15356,0.18099,0.11937,0.17799,0.09395,0.15911,0.07700,0.13216,0.09890,0.01367,0.00746,0.63800,0.12057,0.12944,0.04104,21.50304,6.67997
ablate_no_jam_slip,fixture_near_wall_jam,8,4,0.00000,0.00000,0.73188,0.13693,0.67025,0.13666,0.96788,0.01370,0.06153,0.02894,0.64974,0.14235,0.78125,0.14457,0.00000,0.00000,0.00065,0.00128,0.00000,0.00000,0.00065,0.00128,0.00911,0.00741,0.02463,0.04827,0.03407,0.00965,44.45356,16.35204
ablate_no_tail_risk_objective,actuator_limit_chain,8,4,0.06250,0.08020,0.64941,0.05686,0.54896,0.09497,0.45640,0.11820,0.13963,0.01945,0.43399,0.08586,0.81250,0.08020,0.61523,0.11642,0.06159,0.06505,0.05208,0.05839,0.60091,0.13086,0.00977,0.00593,0.30735,0.12284,0.09091,0.02521,16.14615,6.10586
ablate_no_tail_risk_objective,combined_extreme_stress,8,4,0.00000,0.00000,0.50953,0.07827,0.41313,0.05380,0.89386,0.05551,0.13363,0.01949,0.37174,0.05670,0.53125,0.14457,0.05469,0.04147,0.01237,0.01543,0.04622,0.05451,0.06706,0.02220,0.02344,0.00818,0.24630,0.13227,0.09809,0.04898,55.77212,10.33828
ablate_no_tail_risk_objective,combined_stress,8,4,0.15625,0.12890,0.78039,0.06375,0.64850,0.07362,0.75294,0.13069,0.09108,0.02483,0.48060,0.08330,0.71042,0.15775,0.23958,0.11541,0.19974,0.13830,0.16536,0.12377,0.17214,0.07211,0.01172,0.00661,0.63532,0.10197,0.12460,0.05049,20.33831,6.20084
ablate_no_tail_risk_objective,fixture_near_wall_jam,8,4,0.00000,0.00000,0.73355,0.11832,0.66986,0.12803,0.97331,0.01338,0.06071,0.02609,0.64518,0.13462,0.78125,0.21593,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01172,0.00537,0.00000,0.00000,0.03312,0.00996,41.85402,14.97803
ablate_no_topology_planner,actuator_limit_chain,8,4,0.06250,0.08020,0.63405,0.07036,0.46727,0.08748,0.46113,0.10357,0.15163,0.02320,0.56224,0.07662,0.84375,0.12890,0.57357,0.15676,0.05964,0.06882,0.06771,0.05823,0.55625,0.13546,0.01107,0.00782,0.39966,0.10173,0.10083,0.02152,13.16775,1.08458
ablate_no_topology_planner,combined_extreme_stress,8,4,0.03125,0.06125,0.65521,0.04847,0.40894,0.09595,0.86007,0.06612,0.12081,0.02141,0.38386,0.09685,0.59375,0.18375,0.08268,0.06558,0.04062,0.04768,0.07943,0.07338,0.09075,0.06486,0.01823,0.00510,0.45611,0.10096,0.14601,0.03927,28.33708,9.90814
ablate_no_topology_planner,combined_stress,8,4,0.12500,0.13096,0.81861,0.04283,0.71742,0.06176,0.69552,0.16556,0.08731,0.02868,0.51414,0.11611,0.65625,0.20576,0.11719,0.06771,0.27245,0.17641,0.25098,0.16121,0.10443,0.05917,0.00846,0.00470,0.65145,0.10754,0.13045,0.05224,13.80085,1.10672
ablate_no_topology_planner,fixture_near_wall_jam,8,4,0.00000,0.00000,0.44271,0.10648,0.36871,0.11403,0.94943,0.01246,0.12492,0.02264,0.34896,0.10790,0.78125,0.11103,0.00000,0.00000,0.00065,0.00128,0.00000,0.00000,0.00065,0.00128,0.00781,0.00546,0.02517,0.04934,0.03507,0.00970,43.49889,16.19056
ablate_no_transition_bonus,actuator_limit_chain,8,4,0.03125,0.06125,0.63785,0.07900,0.54696,0.07291,0.51050,0.12437,0.13957,0.02220,0.46159,0.11695,0.81250,0.12250,0.59375,0.12728,0.04349,0.05419,0.03385,0.04642,0.54753,0.12969,0.00977,0.00450,0.32033,0.11360,0.10385,0.03664,18.64597,5.89298
ablate_no_transition_bonus,combined_extreme_stress,8,4,0.00000,0.00000,0.48919,0.04225,0.41526,0.04876,0.88361,0.05581,0.14168,0.01758,0.35742,0.03056,0.50000,0.09260,0.07878,0.06546,0.01562,0.01693,0.04037,0.05411,0.07877,0.03053,0.02279,0.00883,0.19762,0.08268,0.05894,0.01888,59.56085,7.23663
ablate_no_transition_bonus,combined_stress,8,4,0.09375,0.12890,0.78829,0.06976,0.70297,0.07913,0.71853,0.13246,0.08716,0.02730,0.47526,0.11336,0.68750,0.22205,0.19792,0.09957,0.22500,0.14168,0.19623,0.13072,0.15586,0.07566,0.00846,0.00470,0.63029,0.07638,0.11517,0.04383,16.95654,2.47969
ablate_no_transition_bonus,fixture_near_wall_jam,8,4,0.00000,0.00000,0.75195,0.12039,0.69163,0.12374,0.97569,0.01227,0.05835,0.02604,0.67058,0.13179,0.84375,0.12890,0.00000,0.00000,0.00065,0.00128,0.00065,0.00128,0.00000,0.00000,0.00651,0.00462,0.02495,0.04890,0.03537,0.00979,41.72609,18.17210
ablate_no_uncertainty_penalty,actuator_limit_chain,8,4,0.03125,0.06125,0.66014,0.06626,0.54870,0.10733,0.46643,0.11448,0.13420,0.02054,0.47721,0.09224,0.81250,0.12250,0.59375,0.12728,0.04349,0.05280,0.03060,0.04534,0.59375,0.12544,0.01237,0.00638,0.34095,0.12403,0.10157,0.02815,13.41884,1.99930
ablate_no_uncertainty_penalty,combined_extreme_stress,8,4,0.00000,0.00000,0.56419,0.09425,0.35720,0.04334,0.90873,0.05226,0.13411,0.02111,0.36003,0.06941,0.43750,0.17932,0.11654,0.09390,0.01107,0.00973,0.03776,0.05321,0.08138,0.03181,0.01562,0.00579,0.18608,0.09635,0.07548,0.03047,49.38778,12.93930
ablate_no_uncertainty_penalty,combined_stress,8,4,0.09375,0.08966,0.70334,0.08717,0.59631,0.09210,0.76743,0.06711,0.10322,0.02855,0.42057,0.09931,0.65625,0.20576,0.22331,0.12994,0.15221,0.09875,0.12435,0.08483,0.16797,0.10517,0.01172,0.00602,0.60289,0.10675,0.13009,0.04084,21.55187,7.68606
ablate_no_uncertainty_penalty,fixture_near_wall_jam,8,4,0.00000,0.00000,0.73513,0.12058,0.67307,0.11968,0.97027,0.01560,0.05998,0.02565,0.64714,0.12931,0.90625,0.08966,0.00000,0.00000,0.00065,0.00128,0.00065,0.00128,0.00000,0.00000,0.00651,0.00501,0.02481,0.04863,0.03489,0.00966,44.26546,16.25888
learned_only_topology_replacement,actuator_limit_chain,8,4,0.09375,0.08966,0.67932,0.04436,0.48739,0.07294,0.39874,0.10855,0.14896,0.02048,0.58776,0.08934,0.75833,0.12300,0.61523,0.11642,0.08399,0.07455,0.07227,0.06717,0.64675,0.13264,0.00781,0.00610,0.33871,0.13497,0.08702,0.02389,13.29712,1.69072
learned_only_topology_replacement,combined_extreme_stress,8,4,0.03125,0.06125,0.73363,0.07015,0.53346,0.06297,0.85156,0.07015,0.10213,0.02252,0.52292,0.08541,0.37500,0.16039,0.15234,0.09676,0.06406,0.07258,0.08464,0.07404,0.11549,0.07420,0.01107,0.00707,0.32094,0.11281,0.10112,0.03479,24.46131,5.73473
learned_only_topology_replacement,combined_stress,8,4,0.12500,0.13096,0.75377,0.07549,0.59741,0.05965,0.69993,0.15363,0.10761,0.03430,0.45565,0.13909,0.70375,0.21392,0.23177,0.13412,0.21674,0.13680,0.18826,0.12407,0.20469,0.12103,0.00976,0.00560,0.61581,0.08495,0.10914,0.03808,20.80801,5.22979
learned_only_topology_replacement,fixture_near_wall_jam,8,4,0.00000,0.00000,0.75054,0.11143,0.69564,0.11404,0.97591,0.00558,0.05453,0.02139,0.67253,0.11595,0.84375,0.12890,0.00000,0.00000,0.00065,0.00128,0.00065,0.00128,0.00065,0.00128,0.00651,0.00571,0.02437,0.04776,0.03444,0.00962,38.79484,15.92566
topology_full_v5,actuator_limit_chain,8,4,0.03125,0.06125,0.63716,0.07833,0.57340,0.08418,0.52086,0.13719,0.13395,0.02255,0.42187,0.11665,0.81250,0.12250,0.61849,0.11843,0.03763,0.05042,0.02930,0.04516,0.55924,0.13521,0.01042,0.00722,0.32207,0.08587,0.12379,0.03129,20.21623,7.03642
topology_full_v5,combined_extreme_stress,8,4,0.00000,0.00000,0.51263,0.06768,0.44238,0.06348,0.87596,0.07123,0.13566,0.02557,0.39648,0.06318,0.59375,0.15871,0.05404,0.04023,0.00846,0.01188,0.06380,0.06907,0.06250,0.02060,0.01627,0.00758,0.17294,0.09204,0.08360,0.03359,51.65261,9.11951
topology_full_v5,combined_stress,8,4,0.09375,0.08966,0.71953,0.10812,0.61133,0.09939,0.78073,0.09350,0.09942,0.03582,0.45872,0.14470,0.68934,0.22123,0.19857,0.14044,0.15469,0.09449,0.12591,0.08385,0.16406,0.11144,0.00911,0.00537,0.58557,0.11342,0.10777,0.04393,19.01836,6.35180
topology_full_v5,fixture_near_wall_jam,8,4,0.00000,0.00000,0.70388,0.09874,0.63607,0.09995,0.96506,0.01732,0.06853,0.01980,0.61198,0.10791,0.90625,0.08966,0.00000,0.00000,0.00065,0.00128,0.00065,0.00128,0.00000,0.00000,0.00977,0.00851,0.02475,0.04852,0.03474,0.00964,44.21969,15.89939
topology_world_model_v4,actuator_limit_chain,8,4,0.06250,0.08020,0.64151,0.07396,0.54542,0.10289,0.46289,0.12401,0.14277,0.02087,0.46133,0.07285,0.81250,0.12250,0.59375,0.12728,0.07070,0.06701,0.05729,0.05826,0.56771,0.13978,0.01042,0.00472,0.32965,0.11974,0.09314,0.02503,19.27951,7.25014
topology_world_model_v4,combined_extreme_stress,8,4,0.00000,0.00000,0.55925,0.05895,0.41276,0.04806,0.91382,0.05077,0.12524,0.01977,0.38216,0.05216,0.43750,0.15356,0.13281,0.08374,0.00781,0.01250,0.03451,0.05422,0.08073,0.02417,0.01693,0.00602,0.14028,0.11147,0.06462,0.02301,55.97681,8.92820
topology_world_model_v4,combined_stress,8,4,0.12500,0.13096,0.73415,0.08510,0.64321,0.04713,0.71986,0.13242,0.09761,0.02991,0.42281,0.13263,0.66071,0.20106,0.22852,0.15356,0.20888,0.12384,0.18151,0.11293,0.19167,0.13015,0.00976,0.00560,0.60660,0.10056,0.11543,0.04921,17.16487,2.09853
topology_world_model_v4,fixture_near_wall_jam,8,4,0.00000,0.00000,0.74154,0.09609,0.67904,0.09874,0.97331,0.01201,0.05827,0.02248,0.66146,0.10344,0.84375,0.12890,0.00000,0.00000,0.00065,0.00128,0.00065,0.00128,0.00065,0.00128,0.00586,0.00406,0.02432,0.04766,0.03400,0.00966,43.00595,14.63139
