method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_edge_f1,ci95_mean_edge_f1,mean_mean_birth_f1,ci95_mean_birth_f1,mean_mean_death_f1,ci95_mean_death_f1,mean_mean_graph_edit,ci95_mean_graph_edit,mean_mean_component_accuracy,ci95_mean_component_accuracy,mean_mean_jam_f1,ci95_mean_jam_f1,mean_mean_safety_violation_rate,ci95_mean_safety_violation_rate,mean_mean_chain_contact_rate,ci95_mean_chain_contact_rate,mean_mean_pocket_contact_rate,ci95_mean_pocket_contact_rate,mean_mean_fixture_contact_rate,ci95_mean_fixture_contact_rate,mean_mean_wall_contact_rate,ci95_mean_wall_contact_rate,mean_mean_final_progress,ci95_mean_final_progress,mean_mean_final_y_error,ci95_mean_final_y_error,mean_mean_energy,ci95_mean_energy
ablate_no_birth_death,actuator_limit_chain,8,4,0.06250,0.08020,0.69080,0.04801,0.50512,0.09362,0.41888,0.11487,0.14219,0.02513,0.59024,0.05380,0.82143,0.11068,0.59440,0.12781,0.06250,0.07147,0.04883,0.06048,0.63047,0.13788,0.00846,0.00508,0.35385,0.12645,0.10209,0.02982,12.70019,1.51889
ablate_no_birth_death,combined_extreme_stress,8,4,0.03125,0.06125,0.64263,0.08533,0.47737,0.10145,0.85236,0.06810,0.11725,0.01983,0.42487,0.09790,0.34375,0.15871,0.14127,0.06359,0.07122,0.06570,0.08529,0.07349,0.11940,0.06058,0.01367,0.00638,0.40435,0.14459,0.14703,0.02664,28.40661,7.81677
ablate_no_birth_death,combined_stress,8,4,0.09375,0.08966,0.76636,0.07724,0.60719,0.06923,0.67650,0.15976,0.10556,0.03430,0.46753,0.15378,0.62968,0.16867,0.20964,0.10937,0.24004,0.15546,0.22016,0.14066,0.19010,0.10616,0.00846,0.00470,0.63803,0.08816,0.12171,0.04171,16.61023,2.07627
ablate_no_birth_death,fixture_near_wall_jam,8,4,0.00000,0.00000,0.69542,0.12253,0.64225,0.11984,0.96905,0.01454,0.06893,0.02656,0.62240,0.12457,0.78125,0.14457,0.00000,0.00000,0.00065,0.00128,0.00000,0.00000,0.00000,0.00000,0.01237,0.00924,0.02493,0.04887,0.03532,0.00978,44.15079,16.12975
ablate_no_component_head,actuator_limit_chain,8,4,0.06250,0.08020,0.64172,0.08248,0.57515,0.12143,0.49121,0.13836,0.13683,0.02097,0.44375,0.09266,0.78125,0.14457,0.59375,0.12728,0.06615,0.06630,0.05339,0.05819,0.54492,0.13893,0.00911,0.00420,0.33160,0.11998,0.10991,0.04276,18.15121,7.13371
ablate_no_component_head,combined_extreme_stress,8,4,0.00000,0.00000,0.47708,0.02738,0.41953,0.03624,0.89746,0.05537,0.13664,0.01867,0.36458,0.05294,0.56250,0.17932,0.05859,0.06550,0.01107,0.01524,0.03516,0.05377,0.06901,0.02408,0.01497,0.00560,0.16551,0.12595,0.07216,0.03883,54.83518,10.45876
ablate_no_component_head,combined_stress,8,4,0.12500,0.09260,0.75025,0.08645,0.65312,0.07542,0.72372,0.13762,0.09641,0.02975,0.42846,0.11063,0.68750,0.22205,0.20768,0.12871,0.21580,0.14898,0.18379,0.13526,0.17708,0.11346,0.00912,0.00462,0.62739,0.08944,0.11728,0.04977,18.61678,5.87831
ablate_no_component_head,fixture_near_wall_jam,8,4,0.00000,0.00000,0.75141,0.11655,0.69900,0.11389,0.96897,0.01687,0.05656,0.02496,0.67708,0.12452,0.87500,0.13096,0.00000,0.00000,0.00065,0.00128,0.00000,0.00000,0.00065,0.00128,0.01237,0.00666,0.02434,0.04772,0.03419,0.00963,42.63275,16.76764
ablate_no_fixture_guard,actuator_limit_chain,8,4,0.06250,0.08020,0.61970,0.07856,0.53761,0.09926,0.50807,0.11161,0.13875,0.01830,0.42383,0.08822,0.81250,0.12250,0.59310,0.12669,0.06745,0.06684,0.05339,0.05819,0.52799,0.11217,0.01042,0.00431,0.34580,0.10681,0.11038,0.02382,18.28575,6.43587
ablate_no_fixture_guard,combined_extreme_stress,8,4,0.00000,0.00000,0.52699,0.05002,0.44824,0.03679,0.89342,0.05348,0.12793,0.02085,0.40430,0.04933,0.43750,0.08020,0.10547,0.05790,0.00716,0.01264,0.03451,0.05422,0.07161,0.01956,0.01888,0.00638,0.16729,0.10522,0.07226,0.02257,59.66206,8.59760
