example,split,action_x,action_y,edge_count_before,edge_count_after,births,deaths
0,contact_chain_transfer,9.7013,10.7556,0.0,0.0,0.0,0.0
1,distractor_contact,5.6921,-0.1118,0.0,0.0,0.0,0.0
2,delayed_topology_transition,22.0459,4.7352,0.0,0.0,0.0,0.0
3,distractor_contact,12.7481,9.0934,0.0,0.0,0.0,0.0
4,combined_stress,20.6145,-0.6624,0.0,0.0,0.0,0.0
5,friction_mass_shift,16.2332,-6.0009,0.0,0.0,0.0,0.0
6,friction_mass_shift,15.9394,-5.2917,0.0,0.0,0.0,0.0
7,actuator_limit_chain,6.8265,-10.2390,0.0,0.0,0.0,0.0
8,combined_extreme_stress,-1.9654,11.6577,0.0,0.0,0.0,0.0
9,pocket_relocation,17.7320,-0.3036,0.0,0.0,0.0,0.0
10,fixture_topology_shift,8.9667,-10.7040,0.0,0.0,0.0,0.0
11,combined_extreme_stress,13.9989,-8.5619,0.0,0.0,0.0,0.0
12,combined_extreme_stress,7.6188,2.4857,0.0,0.0,0.0,0.0
13,pocket_relocation,8.3113,-9.2605,0.0,0.0,0.0,0.0
14,fixture_topology_shift,5.7093,2.9975,0.0,0.0,0.0,0.0
15,nominal_push_to_pocket,-0.2417,8.8668,0.0,0.0,0.0,0.0
16,contact_chain_transfer,21.3894,3.0456,0.0,0.0,0.0,0.0
17,fixture_near_wall_jam,4.1854,-0.8719,0.0,0.0,0.0,0.0
18,fixture_near_wall_jam,14.0092,3.7568,1.0,0.0,0.0,1.0
19,combined_stress,23.7316,-0.8495,0.0,0.0,0.0,0.0
20,delayed_topology_transition,10.3215,11.0998,0.0,0.0,0.0,0.0
21,actuator_limit_chain,3.6042,9.8791,0.0,0.0,0.0,0.0
22,distractor_contact,3.9972,-8.6007,0.0,0.0,0.0,0.0
23,nominal_push_to_pocket,7.7191,5.9787,0.0,0.0,0.0,0.0
24,combined_extreme_stress,0.5669,9.5449,1.0,1.0,0.0,0.0
25,contact_chain_transfer,5.3308,0.0077,0.0,0.0,0.0,0.0
26,friction_mass_shift,17.1639,-0.4444,0.0,0.0,0.0,0.0
27,fixture_topology_shift,16.3379,-2.3399,0.0,0.0,0.0,0.0
28,combined_extreme_stress,13.2888,3.3514,0.0,0.0,0.0,0.0
29,contact_sensor_noise_burst,0.8308,-0.0023,0.0,0.0,0.0,0.0
30,distractor_contact,16.7728,8.9816,0.0,0.0,0.0,0.0
31,actuator_limit_chain,6.3545,0.0966,0.0,0.0,0.0,0.0
32,contact_sensor_noise_burst,22.8355,-2.2299,0.0,0.0,0.0,0.0
33,combined_stress,8.5186,-8.2063,0.0,0.0,0.0,0.0
34,pocket_relocation,24.5877,0.9468,1.0,0.0,0.0,1.0
35,combined_extreme_stress,-3.3163,8.6428,1.0,1.0,0.0,0.0
36,combined_stress,13.3505,5.0354,1.0,1.0,0.0,0.0
37,friction_mass_shift,-0.2411,-13.8044,0.0,0.0,0.0,0.0
38,contact_sensor_noise_burst,8.2042,-10.0246,0.0,0.0,0.0,0.0
39,nominal_push_to_pocket,13.6795,3.0617,0.0,1.0,1.0,0.0
40,pocket_relocation,19.0033,2.2700,0.0,0.0,0.0,0.0
41,actuator_limit_chain,6.9597,-6.9136,0.0,0.0,0.0,0.0
42,nominal_push_to_pocket,18.1964,-1.9191,0.0,0.0,0.0,0.0
