method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_edge_f1,ci95_mean_edge_f1,mean_mean_birth_f1,ci95_mean_birth_f1,mean_mean_death_f1,ci95_mean_death_f1,mean_mean_graph_edit,ci95_mean_graph_edit,mean_mean_component_accuracy,ci95_mean_component_accuracy,mean_mean_jam_f1,ci95_mean_jam_f1,mean_mean_safety_violation_rate,ci95_mean_safety_violation_rate,mean_mean_chain_contact_rate,ci95_mean_chain_contact_rate,mean_mean_pocket_contact_rate,ci95_mean_pocket_contact_rate,mean_mean_fixture_contact_rate,ci95_mean_fixture_contact_rate,mean_mean_wall_contact_rate,ci95_mean_wall_contact_rate,mean_mean_final_progress,ci95_mean_final_progress,mean_mean_final_y_error,ci95_mean_final_y_error,mean_mean_energy,ci95_mean_energy
conformal_graph_guard,actuator_limit_chain,8,6,0.00000,0.00000,0.56848,0.07107,0.54803,0.12227,0.42857,0.10340,0.15039,0.01207,0.28168,0.10205,0.75000,0.12347,0.69141,0.07953,0.04774,0.04743,0.04079,0.04644,0.63455,0.09257,0.00955,0.00402,0.28287,0.12737,0.11554,0.03362,21.97809,4.31430
conformal_graph_guard,combined_extreme_stress,8,6,0.02083,0.04083,0.55422,0.08402,0.48398,0.08107,0.91316,0.02710,0.12102,0.02459,0.43099,0.08943,0.58333,0.17461,0.06554,0.05538,0.01128,0.00986,0.00738,0.01016,0.07891,0.03532,0.01875,0.00667,0.11614,0.07194,0.06521,0.03231,56.79602,6.73745
conformal_graph_guard,combined_stress,8,6,0.06250,0.05978,0.69432,0.08049,0.61857,0.09213,0.69203,0.13865,0.10607,0.01927,0.41506,0.10247,0.64904,0.12821,0.30295,0.09605,0.19506,0.11128,0.17218,0.10440,0.23828,0.08479,0.01259,0.00668,0.49711,0.06722,0.13395,0.03221,19.69958,4.76294
conformal_graph_guard,contact_chain_transfer,8,6,0.06250,0.05978,0.86980,0.06356,0.85011,0.04914,0.86049,0.07492,0.04811,0.02024,0.71627,0.10244,0.72917,0.12250,0.00000,0.00000,0.16109,0.08606,0.14012,0.07644,0.00000,0.00000,0.00738,0.00271,0.35325,0.10098,0.09502,0.02781,17.80560,5.29178
conformal_graph_guard,contact_sensor_noise_burst,8,6,0.18750,0.09638,0.74566,0.04058,0.76995,0.02703,0.47652,0.07973,0.12116,0.01536,0.29002,0.08276,0.25656,0.10652,0.03169,0.04078,0.60998,0.09873,0.54566,0.09550,0.03082,0.04084,0.00521,0.00288,0.74351,0.03688,0.06349,0.01962,19.21635,3.61616
conformal_graph_guard,delayed_topology_transition,8,6,0.00000,0.00000,0.23364,0.06605,0.16048,0.06228,0.67698,0.10139,0.18527,0.00788,0.29253,0.07098,0.31250,0.13004,0.65191,0.09243,0.00477,0.00425,0.00174,0.00257,0.36241,0.10935,0.01953,0.00362,0.31635,0.04937,0.17359,0.02517,23.22724,9.70402
conformal_graph_guard,distractor_contact,8,6,0.08333,0.08731,0.45064,0.06280,0.43663,0.05743,0.80198,0.08651,0.15573,0.02372,0.32625,0.08853,0.20956,0.10213,0.00000,0.00000,0.18466,0.09949,0.17539,0.10210,0.01128,0.00494,0.00260,0.00249,0.30455,0.13039,0.11341,0.04006,18.32288,4.25973
conformal_graph_guard,fixture_near_wall_jam,8,6,0.00000,0.00000,0.69083,0.08977,0.62117,0.08436,0.95964,0.01570,0.06982,0.01737,0.59158,0.09815,0.79167,0.11955,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00824,0.00286,0.00000,0.00000,0.03421,0.00330,49.37346,11.69619
conformal_graph_guard,fixture_topology_shift,8,6,0.02083,0.04083,0.74757,0.04431,0.56041,0.06315,0.87739,0.05122,0.08461,0.01469,0.53533,0.07387,0.77083,0.10581,0.24262,0.05547,0.00704,0.00648,0.01990,0.03286,0.16553,0.04677,0.00738,0.00537,0.14224,0.07214,0.06112,0.03425,32.02768,5.25714
conformal_graph_guard,friction_mass_shift,8,6,0.10417,0.08593,0.62300,0.03676,0.59644,0.04901,0.80053,0.07170,0.11298,0.00463,0.43602,0.03391,0.35416,0.04083,0.00000,0.00000,0.24783,0.08428,0.20530,0.07689,0.00087,0.00111,0.00825,0.00339,0.65270,0.07631,0.12517,0.03029,27.71750,5.59621
