method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_edge_f1,ci95_mean_edge_f1,mean_mean_birth_f1,ci95_mean_birth_f1,mean_mean_death_f1,ci95_mean_death_f1,mean_mean_graph_edit,ci95_mean_graph_edit,mean_mean_component_accuracy,ci95_mean_component_accuracy,mean_mean_jam_f1,ci95_mean_jam_f1,mean_mean_safety_violation_rate,ci95_mean_safety_violation_rate,mean_mean_chain_contact_rate,ci95_mean_chain_contact_rate,mean_mean_pocket_contact_rate,ci95_mean_pocket_contact_rate,mean_mean_fixture_contact_rate,ci95_mean_fixture_contact_rate,mean_mean_wall_contact_rate,ci95_mean_wall_contact_rate,mean_mean_final_progress,ci95_mean_final_progress,mean_mean_final_y_error,ci95_mean_final_y_error,mean_mean_energy,ci95_mean_energy
conformal_graph_guard,nominal_push_to_pocket,8,6,0.20833,0.10237,0.63946,0.06099,0.73329,0.07522,0.37036,0.07851,0.14615,0.00952,0.12682,0.02134,0.02462,0.04045,0.00000,0.00000,0.72569,0.08684,0.64974,0.08478,0.00043,0.00085,0.00304,0.00201,0.77037,0.04485,0.05748,0.01559,21.63725,5.36692
conformal_graph_guard,pocket_relocation,8,6,0.25000,0.12347,0.60668,0.06603,0.67311,0.07620,0.34199,0.07816,0.16265,0.01884,0.18492,0.02953,0.03894,0.03725,0.01693,0.03318,0.66938,0.08929,0.66083,0.11525,0.02257,0.03854,0.00390,0.00201,0.72178,0.08959,0.10573,0.02234,14.33059,3.12033
contact_implicit_mpc_baseline,actuator_limit_chain,8,6,0.00000,0.00000,0.86947,0.03417,0.65537,0.11217,0.90292,0.03592,0.06369,0.02139,0.57292,0.12840,0.87500,0.08167,0.73785,0.05057,0.04601,0.04730,0.04166,0.04608,0.77648,0.07488,0.00868,0.00364,0.34397,0.13440,0.10086,0.03543,12.78005,1.41187
contact_implicit_mpc_baseline,combined_extreme_stress,8,6,0.00000,0.00000,0.63617,0.07124,0.28833,0.09330,0.86618,0.03125,0.16054,0.04200,0.19010,0.09461,0.68750,0.16836,0.24392,0.05230,0.02083,0.03703,0.01866,0.03658,0.16016,0.04039,0.00608,0.00402,0.07326,0.06738,0.04841,0.02898,31.31144,5.83137
contact_implicit_mpc_baseline,combined_stress,8,6,0.08333,0.08731,0.85611,0.02765,0.70459,0.06833,0.88634,0.04464,0.06285,0.01417,0.61042,0.07708,0.66667,0.12347,0.30643,0.09227,0.31007,0.11350,0.28993,0.10900,0.25842,0.07201,0.01042,0.00315,0.58301,0.07878,0.10373,0.02696,15.82492,1.90291
contact_implicit_mpc_baseline,contact_chain_transfer,8,6,0.04167,0.05346,0.94434,0.01721,0.93507,0.01045,0.90373,0.07361,0.02031,0.00973,0.83793,0.07760,0.72917,0.12250,0.00000,0.00000,0.25712,0.11584,0.23698,0.10646,0.00000,0.00000,0.00694,0.00364,0.38179,0.10928,0.08204,0.02322,12.89849,2.75770
contact_implicit_mpc_baseline,contact_sensor_noise_burst,8,6,0.25000,0.08730,0.93868,0.01841,0.85338,0.06375,0.98730,0.00352,0.02379,0.01055,0.83880,0.06517,0.20833,0.05346,0.01693,0.03318,0.74097,0.05720,0.67318,0.05447,0.02127,0.03879,0.00434,0.00170,0.77206,0.02626,0.05149,0.01648,11.35123,0.16030
contact_implicit_mpc_baseline,delayed_topology_transition,8,6,0.00000,0.00000,0.91192,0.02586,0.70559,0.11252,0.96991,0.03679,0.04731,0.01609,0.68316,0.12926,0.93750,0.05978,0.81207,0.00154,0.02083,0.03892,0.00130,0.00255,0.93707,0.00154,0.00260,0.00249,0.07479,0.06064,0.04009,0.01878,7.63492,0.41290
contact_implicit_mpc_baseline,distractor_contact,8,6,0.06250,0.05978,0.87506,0.03694,0.75673,0.11436,0.89742,0.07060,0.04637,0.01433,0.66562,0.10219,0.25000,0.08730,0.00000,0.00000,0.37700,0.16366,0.34592,0.15011,0.00825,0.00444,0.00087,0.00170,0.34111,0.13852,0.11849,0.04737,11.58339,0.31593
contact_implicit_mpc_baseline,fixture_near_wall_jam,8,6,0.00000,0.00000,0.95587,0.01396,0.96007,0.01361,0.98857,0.00581,0.00645,0.00230,0.94835,0.01843,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00304,0.00238,0.00000,0.00000,0.03421,0.00330,47.63972,13.93782
contact_implicit_mpc_baseline,fixture_topology_shift,8,6,0.00000,0.00000,0.69961,0.05239,0.39688,0.11295,0.87008,0.03386,0.14046,0.03326,0.29210,0.10872,0.83333,0.10693,0.32726,0.09157,0.00347,0.00223,0.00087,0.00111,0.24566,0.08461,0.00391,0.00300,0.09236,0.06193,0.05198,0.02883,27.49706,3.61959
contact_implicit_mpc_baseline,friction_mass_shift,8,6,0.20833,0.08167,0.92463,0.02561,0.87543,0.04928,0.90365,0.07762,0.02831,0.01564,0.81380,0.06987,0.45833,0.05346,0.00000,0.00000,0.50842,0.04754,0.45894,0.03883,0.00000,0.00000,0.00738,0.00239,0.69991,0.06631,0.09038,0.02454,11.62966,0.23977
contact_implicit_mpc_baseline,nominal_push_to_pocket,8,6,0.25000,0.08730,0.95425,0.03519,0.93976,0.03295,0.99870,0.00255,0.00848,0.00577,0.93863,0.03352,0.02083,0.04083,0.00000,0.00000,0.92483,0.04119,0.84201,0.04197,0.00043,0.00085,0.00000,0.00000,0.80469,0.02020,0.01712,0.00323,13.07742,3.76325
contact_implicit_mpc_baseline,pocket_relocation,8,6,0.14584,0.07402,0.94352,0.03056,0.90922,0.05211,0.95993,0.04858,0.01747,0.01138,0.87413,0.09037,0.02083,0.04083,0.01693,0.03318,0.89036,0.08301,0.80121,0.11459,0.02040,0.03805,0.00130,0.00179,0.74938,0.09720,0.11341,0.00968,14.89918,4.71760
distance_threshold_graph,actuator_limit_chain,8,6,0.00000,0.00000,0.86294,0.03343,0.64518,0.11749,0.89902,0.03917,0.06673,0.02102,0.56207,0.12643,0.85417,0.07402,0.70486,0.06692,0.04688,0.04769,0.06076,0.05289,0.73741,0.08393,0.00825,0.00406,0.34264,0.13710,0.08900,0.02951,12.66287,1.33721
distance_threshold_graph,combined_extreme_stress,8,6,0.00000,0.00000,0.64078,0.06929,0.29563,0.07962,0.86507,0.03531,0.15408,0.03756,0.19401,0.07683,0.70833,0.17186,0.24436,0.07683,0.02040,0.03715,0.01866,0.03658,0.16320,0.05253,0.00651,0.00636,0.09695,0.06633,0.06174,0.02908,31.68370,5.22069
distance_threshold_graph,combined_stress,8,6,0.08333,0.08731,0.86361,0.02219,0.71984,0.07396,0.89368,0.04186,0.06037,0.01137,0.62708,0.07924,0.66667,0.12347,0.30903,0.09352,0.30937,0.11468,0.28906,0.10904,0.26406,0.08040,0.00911,0.00286,0.56573,0.09308,0.10319,0.02166,15.80943,1.92697
distance_threshold_graph,contact_chain_transfer,8,6,0.04167,0.05346,0.94318,0.01673,0.93246,0.01191,0.90483,0.07331,0.02064,0.00956,0.83533,0.07630,0.72917,0.12250,0.00000,0.00000,0.25712,0.11584,0.23698,0.10646,0.00000,0.00000,0.00651,0.00300,0.38136,0.10907,0.08453,0.02434,12.50662,1.97973
distance_threshold_graph,contact_sensor_noise_burst,8,6,0.20833,0.08167,0.94166,0.01882,0.87083,0.05326,0.98151,0.01236,0.02015,0.00810,0.84913,0.06239,0.27083,0.08593,0.03169,0.04078,0.68750,0.08377,0.62326,0.08004,0.03125,0.04067,0.00477,0.00286,0.76070,0.03477,0.06743,0.01820,11.82091,0.73053
distance_threshold_graph,delayed_topology_transition,8,6,0.00000,0.00000,0.90978,0.02265,0.69322,0.10189,0.97352,0.04004,0.04845,0.01397,0.67578,0.11597,0.93750,0.05978,0.81250,0.00129,0.02083,0.03892,0.00130,0.00255,0.93750,0.00129,0.00130,0.00124,0.06145,0.04597,0.04524,0.01940,7.59440,0.38190
distance_threshold_graph,distractor_contact,8,6,0.06250,0.05978,0.87686,0.02711,0.77370,0.09135,0.88305,0.06253,0.04659,0.01016,0.66389,0.06838,0.25000,0.08730,0.00000,0.00000,0.35703,0.16148,0.32726,0.14758,0.00825,0.00385,0.00087,0.00170,0.32451,0.13573,0.12012,0.04245,11.60389,0.33264
distance_threshold_graph,fixture_near_wall_jam,8,6,0.00000,0.00000,0.95790,0.01319,0.95862,0.01332,0.98828,0.00696,0.00678,0.00229,0.94662,0.01763,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00564,0.00362,0.00000,0.00000,0.03421,0.00330,45.55092,13.65407
distance_threshold_graph,fixture_topology_shift,8,6,0.00000,0.00000,0.70573,0.04737,0.40187,0.10737,0.87594,0.03223,0.13585,0.02831,0.30556,0.10204,0.81250,0.09638,0.31727,0.07798,0.02300,0.03931,0.01953,0.03732,0.23611,0.07133,0.00217,0.00179,0.09717,0.05744,0.05543,0.02397,26.98589,3.44858
distance_threshold_graph,friction_mass_shift,8,6,0.20833,0.08167,0.92262,0.02721,0.87036,0.04923,0.90703,0.07342,0.02908,0.01586,0.80894,0.08045,0.43750,0.05978,0.00000,0.00000,0.52882,0.05368,0.47587,0.04437,0.00043,0.00085,0.00738,0.00201,0.71104,0.06725,0.08673,0.02413,11.73842,0.27766
distance_threshold_graph,nominal_push_to_pocket,8,6,0.25000,0.08730,0.95837,0.02715,0.94323,0.02626,0.99826,0.00340,0.00794,0.00472,0.94297,0.02513,0.02083,0.04083,0.00000,0.00000,0.92483,0.04119,0.84201,0.04197,0.00043,0.00085,0.00087,0.00170,0.80528,0.01905,0.01812,0.00444,13.07993,3.76244
distance_threshold_graph,pocket_relocation,8,6,0.14584,0.07402,0.94547,0.02835,0.91181,0.04788,0.95992,0.04783,0.01710,0.01079,0.87752,0.08567,0.02083,0.04083,0.01693,0.03318,0.89036,0.08301,0.80121,0.11459,0.02040,0.03805,0.00087,0.00111,0.74938,0.09720,0.11301,0.00961,14.90124,4.71559
ensemble_uncertainty_planner,actuator_limit_chain,8,6,0.00000,0.00000,0.67342,0.03487,0.76505,0.06972,0.35885,0.09921,0.12115,0.01350,0.20833,0.05551,0.93750,0.05978,0.75174,0.03924,0.00781,0.00309,0.02430,0.03892,0.76085,0.06191,0.00868,0.00315,0.34005,0.12685,0.11031,0.03285,14.23911,2.71132
ensemble_uncertainty_planner,combined_extreme_stress,8,6,0.00000,0.00000,0.78625,0.07999,0.69583,0.07777,0.94693,0.01305,0.05382,0.01426,0.68186,0.06709,0.79167,0.08167,0.11936,0.06534,0.00868,0.00546,0.00087,0.00170,0.09332,0.02690,0.01432,0.00698,0.17469,0.08937,0.09676,0.04014,42.33974,11.32533
ensemble_uncertainty_planner,combined_stress,8,6,0.06250,0.08593,0.73183,0.06594,0.72420,0.06277,0.61726,0.12881,0.11208,0.02761,0.43368,0.11051,0.75000,0.12347,0.42318,0.07975,0.19896,0.08939,0.18490,0.08254,0.36198,0.07423,0.00998,0.00395,0.56842,0.07751,0.11888,0.03692,17.54576,2.12062
ensemble_uncertainty_planner,contact_chain_transfer,8,6,0.04167,0.05346,0.85553,0.05686,0.91602,0.00531,0.76129,0.12025,0.06991,0.02919,0.68629,0.11439,0.70833,0.13455,0.00000,0.00000,0.25842,0.13033,0.23698,0.12203,0.00000,0.00000,0.00738,0.00351,0.40206,0.11352,0.07993,0.02557,11.19893,0.34626
ensemble_uncertainty_planner,contact_sensor_noise_burst,8,6,0.22917,0.08593,0.64756,0.03739,0.86943,0.02583,0.39521,0.06251,0.17062,0.01691,0.29896,0.06197,0.25000,0.08730,0.02865,0.03756,0.67048,0.08601,0.60330,0.08546,0.03125,0.04067,0.00564,0.00179,0.76600,0.01854,0.07362,0.02327,11.89142,1.06596
ensemble_uncertainty_planner,delayed_topology_transition,8,6,0.00000,0.00000,0.59968,0.04134,0.81525,0.05860,0.22551,0.06232,0.13525,0.00398,0.15061,0.02559,0.70833,0.11955,0.76172,0.06983,0.00651,0.01016,0.00174,0.00257,0.83507,0.06833,0.00391,0.00238,0.12789,0.07966,0.07769,0.02481,10.35789,3.47143
ensemble_uncertainty_planner,distractor_contact,8,6,0.16667,0.10693,0.74323,0.09356,0.81627,0.06290,0.72447,0.16521,0.09448,0.04083,0.57174,0.15856,0.31250,0.13004,0.00000,0.00000,0.30210,0.18133,0.26698,0.16961,0.01180,0.00534,0.00130,0.00179,0.33799,0.14143,0.12184,0.03654,17.91806,7.36210
ensemble_uncertainty_planner,fixture_near_wall_jam,8,6,0.00000,0.00000,0.83217,0.05857,0.78255,0.05643,0.97873,0.00791,0.03174,0.00893,0.76345,0.06352,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00998,0.00552,0.00549,0.01076,0.03350,0.00388,44.51553,13.22646
ensemble_uncertainty_planner,fixture_topology_shift,8,6,0.02083,0.04083,0.83503,0.03042,0.64862,0.07599,0.85116,0.08044,0.06691,0.01593,0.64748,0.05643,0.89583,0.08593,0.34245,0.09262,0.02135,0.03608,0.01649,0.03040,0.25564,0.08671,0.00260,0.00213,0.09742,0.07166,0.05363,0.02507,28.48695,4.27414
ensemble_uncertainty_planner,friction_mass_shift,8,6,0.25000,0.13804,0.70783,0.02496,0.81739,0.02766,0.61540,0.06896,0.12430,0.01759,0.51431,0.05635,0.43750,0.05978,0.00000,0.00000,0.42239,0.08026,0.39070,0.07320,0.00000,0.00000,0.00738,0.00271,0.68287,0.06284,0.10001,0.02417,11.78441,0.57633
ensemble_uncertainty_planner,nominal_push_to_pocket,8,6,0.25000,0.08730,0.59593,0.03545,0.85856,0.07237,0.26112,0.10886,0.18497,0.01517,0.14346,0.04833,0.02083,0.04083,0.00000,0.00000,0.83676,0.12035,0.75387,0.11940,0.00043,0.00085,0.00174,0.00257,0.75856,0.07860,0.03944,0.01527,15.68535,5.46073
ensemble_uncertainty_planner,pocket_relocation,8,6,0.10417,0.05978,0.56752,0.06321,0.62431,0.06390,0.59922,0.06934,0.14074,0.01952,0.40088,0.07680,0.08464,0.06082,0.03429,0.04400,0.34624,0.07909,0.36531,0.07358,0.04123,0.05000,0.01063,0.00467,0.41556,0.07720,0.20830,0.03268,14.90996,4.05871
hist_gradient_topology_planner,actuator_limit_chain,8,6,0.00000,0.00000,0.71466,0.04279,0.88267,0.03241,0.32394,0.08663,0.10612,0.01178,0.18837,0.06558,0.97917,0.04083,0.72352,0.06901,0.02778,0.03619,0.04297,0.04779,0.76606,0.08871,0.00738,0.00326,0.33684,0.13326,0.09576,0.03104,12.57476,1.41509
hist_gradient_topology_planner,combined_extreme_stress,8,6,0.00000,0.00000,0.91738,0.03472,0.86242,0.03488,0.93979,0.05032,0.02593,0.00540,0.79644,0.04267,0.97917,0.04083,0.22700,0.06913,0.02083,0.03699,0.01953,0.03828,0.15278,0.05303,0.00564,0.00385,0.08184,0.05504,0.05231,0.02823,32.92368,5.91053
hist_gradient_topology_planner,combined_stress,8,6,0.08333,0.08731,0.80880,0.03192,0.83724,0.05231,0.59167,0.10612,0.08788,0.01756,0.41684,0.08211,0.66667,0.12347,0.31424,0.09216,0.30937,0.11588,0.28950,0.10908,0.26406,0.06864,0.01042,0.00315,0.57436,0.09271,0.09366,0.01276,15.91874,2.01389
hist_gradient_topology_planner,contact_chain_transfer,8,6,0.04167,0.05346,0.88339,0.04858,0.97685,0.00799,0.75456,0.10731,0.05786,0.02473,0.73681,0.11304,0.72917,0.12250,0.00000,0.00000,0.25712,0.11584,0.23698,0.10646,0.00000,0.00000,0.00694,0.00288,0.38177,0.10916,0.07548,0.02271,12.78009,2.52018
hist_gradient_topology_planner,contact_sensor_noise_burst,8,6,0.20833,0.08167,0.72635,0.02852,0.91545,0.00925,0.36288,0.05923,0.13943,0.01416,0.27265,0.06054,0.25000,0.08730,0.03169,0.04078,0.70790,0.08519,0.64193,0.07929,0.03082,0.03992,0.00521,0.00257,0.76241,0.03502,0.06027,0.01812,11.76855,0.75391
hist_gradient_topology_planner,delayed_topology_transition,8,6,0.00000,0.00000,0.68938,0.00479,0.96600,0.00663,0.13576,0.01029,0.11773,0.00068,0.06293,0.00201,0.97917,0.04083,0.81207,0.00201,0.02083,0.03892,0.00130,0.00255,0.93707,0.00201,0.00173,0.00129,0.06049,0.04534,0.03755,0.01759,7.62710,0.40706
hist_gradient_topology_planner,distractor_contact,8,6,0.06250,0.05978,0.83578,0.07217,0.96515,0.00907,0.64916,0.15020,0.08240,0.03612,0.61641,0.15766,0.60417,0.17393,0.00000,0.00000,0.37700,0.16366,0.34592,0.15011,0.00911,0.00480,0.00087,0.00170,0.34155,0.13823,0.11950,0.04318,11.64576,0.33754
hist_gradient_topology_planner,fixture_near_wall_jam,8,6,0.00000,0.00000,0.88918,0.05183,0.89887,0.04869,0.99008,0.00453,0.01438,0.00652,0.89106,0.05164,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00564,0.00286,0.00000,0.00000,0.03421,0.00330,47.63243,15.05840
hist_gradient_topology_planner,fixture_topology_shift,8,6,0.00000,0.00000,0.91182,0.02708,0.86531,0.03778,0.88238,0.06845,0.03234,0.01023,0.74349,0.08088,1.00000,0.00000,0.32552,0.08990,0.00347,0.00223,0.00087,0.00111,0.24522,0.08326,0.00304,0.00201,0.07838,0.04008,0.05348,0.03155,27.50291,3.58907
hist_gradient_topology_planner,friction_mass_shift,8,6,0.20833,0.08167,0.77601,0.01817,0.94879,0.00785,0.53458,0.03770,0.11163,0.00877,0.49228,0.04085,0.45833,0.05346,0.00000,0.00000,0.50842,0.04754,0.45720,0.04057,0.00043,0.00085,0.00694,0.00257,0.69949,0.06616,0.08508,0.01596,11.67585,0.24772
hist_gradient_topology_planner,nominal_push_to_pocket,8,6,0.25000,0.08730,0.80806,0.00584,0.93536,0.00702,0.17824,0.04049,0.11415,0.00196,0.12031,0.03918,0.02083,0.04083,0.00000,0.00000,0.92483,0.04119,0.84201,0.04197,0.00043,0.00085,0.00043,0.00085,0.80515,0.01930,0.01807,0.00440,13.07995,3.76222
hist_gradient_topology_planner,pocket_relocation,8,6,0.14584,0.07402,0.69191,0.03551,0.93614,0.00914,0.18620,0.07412,0.15774,0.01462,0.12135,0.06836,0.06250,0.08593,0.01693,0.03318,0.88993,0.08332,0.81988,0.11146,0.01997,0.03817,0.00087,0.00111,0.76645,0.09610,0.11336,0.00934,12.98591,3.54566
last_contact_persistence,actuator_limit_chain,8,6,0.00000,0.00000,0.88902,0.02255,0.84462,0.03378,0.84462,0.03308,0.03993,0.00849,0.71615,0.06584,0.95964,0.05183,0.72266,0.06853,0.02778,0.03710,0.04253,0.04798,0.75434,0.08656,0.00781,0.00280,0.32724,0.13499,0.09006,0.03119,12.68015,1.33426
last_contact_persistence,combined_extreme_stress,8,6,0.00000,0.00000,0.83422,0.02240,0.84549,0.02824,0.76345,0.03474,0.05235,0.00923,0.65582,0.05992,0.93873,0.08382,0.20964,0.05826,0.02040,0.03715,0.01910,0.03743,0.14410,0.03796,0.00477,0.00286,0.07751,0.06384,0.05539,0.02968,31.90290,7.07922
last_contact_persistence,combined_stress,8,6,0.08333,0.08731,0.85252,0.02706,0.80165,0.03279,0.79106,0.03670,0.05483,0.00998,0.65052,0.05678,0.69229,0.13120,0.33507,0.07398,0.29314,0.10649,0.27170,0.09850,0.28185,0.06822,0.00998,0.00300,0.61495,0.09102,0.10028,0.02099,16.25058,1.71668
last_contact_persistence,contact_chain_transfer,8,6,0.04167,0.05346,0.95621,0.00292,0.95382,0.00886,0.96033,0.00731,0.01089,0.00098,0.91997,0.00590,0.71228,0.13120,0.00000,0.00000,0.25712,0.11584,0.23698,0.10646,0.00000,0.00000,0.00694,0.00288,0.38322,0.10965,0.07907,0.02196,12.72100,2.39915
last_contact_persistence,contact_sensor_noise_burst,8,6,0.22917,0.08593,0.91663,0.01164,0.86945,0.01616,0.88455,0.02021,0.03273,0.00421,0.79141,0.02713,0.23200,0.06627,0.01693,0.03318,0.74349,0.08328,0.67665,0.08112,0.02083,0.03890,0.00391,0.00238,0.76525,0.03788,0.05191,0.01039,11.35271,0.14526
last_contact_persistence,delayed_topology_transition,8,6,0.00000,0.00000,0.94762,0.00396,0.93359,0.00721,0.92795,0.01297,0.01774,0.00211,0.87153,0.01367,0.95405,0.08089,0.81250,0.00129,0.02083,0.03892,0.00130,0.00255,0.93750,0.00129,0.00173,0.00182,0.05959,0.05867,0.03609,0.01790,7.59746,0.37212
last_contact_persistence,distractor_contact,8,6,0.06250,0.05978,0.93418,0.00629,0.93160,0.00976,0.92040,0.01339,0.01922,0.00138,0.86502,0.01046,0.60410,0.17577,0.00000,0.00000,0.37700,0.16366,0.34592,0.15011,0.00911,0.00480,0.00087,0.00170,0.34157,0.13820,0.12089,0.04408,11.59550,0.31601
last_contact_persistence,fixture_near_wall_jam,8,6,0.00000,0.00000,0.92470,0.01148,0.96094,0.00402,0.93056,0.00954,0.01389,0.00145,0.89670,0.01112,0.97917,0.04083,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00738,0.00395,0.00000,0.00000,0.03421,0.00330,47.66633,13.95524
last_contact_persistence,fixture_topology_shift,8,6,0.00000,0.00000,0.87267,0.02143,0.84201,0.03635,0.83420,0.03303,0.04172,0.00876,0.69184,0.06694,0.97917,0.04083,0.32943,0.09311,0.00347,0.00257,0.00087,0.00111,0.24566,0.08393,0.00347,0.00257,0.08006,0.04292,0.05911,0.02899,27.49609,3.58699
last_contact_persistence,friction_mass_shift,8,6,0.20833,0.08167,0.93332,0.00763,0.91432,0.01137,0.92986,0.00870,0.01999,0.00208,0.85886,0.01155,0.42275,0.06329,0.00000,0.00000,0.52838,0.05392,0.47804,0.04522,0.00043,0.00085,0.00781,0.00249,0.72146,0.07497,0.08376,0.01996,11.56710,0.34008
last_contact_persistence,nominal_push_to_pocket,8,6,0.25000,0.08730,0.94932,0.00567,0.90842,0.00530,0.97847,0.00487,0.01438,0.00113,0.89392,0.00797,0.03521,0.04088,0.00000,0.00000,0.92483,0.04119,0.84201,0.04197,0.00043,0.00085,0.00087,0.00170,0.80364,0.02225,0.01823,0.00475,13.07964,3.76299
last_contact_persistence,pocket_relocation,8,6,0.14584,0.07402,0.94346,0.01346,0.90981,0.00658,0.96285,0.01114,0.01608,0.00169,0.88412,0.01028,0.09909,0.12112,0.01693,0.03318,0.89036,0.08301,0.80121,0.11459,0.02040,0.03805,0.00173,0.00223,0.74938,0.09720,0.11253,0.00971,14.90360,4.71448
oracle_topology_planner,actuator_limit_chain,8,6,0.18750,0.07402,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.33333,0.12347,0.00000,0.00000,0.65027,0.10523,0.58367,0.09763,0.00217,0.00255,0.00217,0.00255,0.69517,0.03394,0.06603,0.01000,23.93353,8.72435
oracle_topology_planner,combined_extreme_stress,8,6,0.08333,0.12347,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.66667,0.13804,0.00000,0.00000,0.24159,0.05446,0.24170,0.06794,0.00477,0.00313,0.01988,0.00873,0.66909,0.11852,0.11544,0.02426,37.72021,7.57848
oracle_topology_planner,combined_stress,8,6,0.20833,0.08167,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.35417,0.11446,0.00000,0.00000,0.66546,0.08657,0.60370,0.08193,0.00294,0.00264,0.00173,0.00182,0.70934,0.05323,0.04384,0.01898,19.35511,4.08018
