group,method,seed_split_rows,success_rate,ci95_success_rate,edge_f1,ci95_edge_f1,birth_f1,ci95_birth_f1,death_f1,ci95_death_f1,graph_edit,ci95_graph_edit,component_accuracy,ci95_component_accuracy,jam_f1,ci95_jam_f1,safety_violation_rate,ci95_safety_violation_rate,fixture_contact_rate,ci95_fixture_contact_rate,wall_contact_rate,ci95_wall_contact_rate,final_progress,ci95_final_progress,final_y_error,ci95_final_y_error,energy,ci95_energy
hard_splits,random_forest_topology_planner,88,0.07008,0.02345,0.48394,0.04419,0.86487,0.02240,0.36672,0.05471,0.14621,0.01402,0.31406,0.05298,0.69303,0.06524,0.22487,0.06093,0.22129,0.06620,0.00536,0.00107,0.37852,0.06290,0.07839,0.00959,18.58569,2.48769
hard_splits,risk_averse_graph_planner,88,0.06629,0.02720,0.39003,0.03891,0.36816,0.03864,0.75738,0.03632,0.15198,0.00719,0.24524,0.02796,0.39915,0.06457,0.07588,0.03133,0.06906,0.02353,0.01440,0.00200,0.46688,0.04092,0.14553,0.01248,33.67318,2.44661
hard_splits,robust_contact_mpc,88,0.07008,0.02345,0.85250,0.02640,0.68511,0.05327,0.92935,0.01525,0.06832,0.01374,0.62692,0.05828,0.56174,0.07050,0.22459,0.06121,0.22149,0.06658,0.00513,0.00097,0.37142,0.06415,0.07716,0.00933,18.80337,2.85520
hard_splits,state_only_dynamics_model,88,0.07008,0.02284,0.90710,0.02045,0.77202,0.04608,0.95057,0.01235,0.04455,0.00968,0.78794,0.05456,0.62039,0.06603,0.22502,0.06077,0.22161,0.06600,0.00564,0.00120,0.37622,0.06368,0.07445,0.00927,18.55471,2.77133
hard_splits,topology_no_memory_ablation,88,0.08902,0.02937,0.71105,0.02805,0.54045,0.04608,0.61251,0.05703,0.12606,0.01289,0.56174,0.03529,0.55654,0.05594,0.22400,0.06140,0.21135,0.06375,0.00647,0.00122,0.38232,0.05912,0.08559,0.00902,20.74850,2.76629
hard_splits,topology_world_model_v4,88,0.07386,0.02524,0.61380,0.04177,0.56202,0.04526,0.71518,0.04979,0.12197,0.01051,0.41329,0.03948,0.48218,0.06426,0.18052,0.05365,0.14394,0.04426,0.00900,0.00148,0.37790,0.05694,0.09869,0.01304,26.63794,3.44041
hard_splits,topology_world_model_v5,88,0.05871,0.02304,0.59227,0.04377,0.55032,0.04529,0.73036,0.04551,0.12352,0.01047,0.40415,0.04017,0.48989,0.06516,0.17255,0.05302,0.12756,0.04074,0.00868,0.00145,0.37120,0.05560,0.09922,0.01165,28.30371,3.39929
combined_and_extreme,conformal_graph_guard,16,0.04167,0.03652,0.62427,0.06645,0.55128,0.06836,0.80259,0.08825,0.11354,0.01556,0.42302,0.06582,0.61619,0.10595,0.18424,0.08048,0.15859,0.05996,0.01567,0.00482,0.30663,0.10749,0.09958,0.02808,38.24780,10.19780
combined_and_extreme,contact_implicit_mpc_baseline,16,0.04167,0.04715,0.74614,0.06678,0.49646,0.11923,0.87626,0.02681,0.11169,0.03270,0.40026,0.12160,0.67708,0.10099,0.27517,0.05362,0.20929,0.04700,0.00825,0.00270,0.32813,0.13837,0.07607,0.02370,23.56818,4.91274
combined_and_extreme,distance_threshold_graph,16,0.04167,0.04715,0.75219,0.06644,0.50773,0.11949,0.87938,0.02742,0.10723,0.03036,0.41055,0.12186,0.68750,0.10276,0.27669,0.06071,0.21363,0.05295,0.00781,0.00343,0.33134,0.13084,0.08246,0.02041,23.74656,4.83325
combined_and_extreme,ensemble_uncertainty_planner,16,0.03125,0.04442,0.75904,0.05193,0.71002,0.04880,0.78210,0.10426,0.08295,0.02104,0.55777,0.08856,0.77083,0.07228,0.27127,0.09160,0.22765,0.07795,0.01215,0.00403,0.37155,0.11485,0.10782,0.02693,29.94275,8.38673
combined_and_extreme,hist_gradient_topology_planner,16,0.04167,0.04715,0.86309,0.03569,0.84983,0.03103,0.76573,0.10478,0.05691,0.01801,0.60664,0.10594,0.82292,0.10099,0.27062,0.05987,0.20842,0.05048,0.00803,0.00269,0.32810,0.13507,0.07298,0.01826,24.42121,5.25473
combined_and_extreme,last_contact_persistence,16,0.04167,0.04715,0.84337,0.01759,0.82357,0.02366,0.77726,0.02539,0.05359,0.00660,0.65317,0.03990,0.81550,0.09770,0.27235,0.05547,0.21298,0.05135,0.00738,0.00240,0.34623,0.14621,0.07783,0.02091,24.07674,5.29787
combined_and_extreme,oracle_topology_planner,16,0.14583,0.07819,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.51042,0.11728,0.00000,0.00000,0.00386,0.00203,0.01081,0.00630,0.68922,0.06358,0.07964,0.02344,28.53766,6.23541
combined_and_extreme,pairwise_contact_classifier,16,0.05208,0.04917,0.74406,0.03343,0.56203,0.05419,0.73227,0.09834,0.10522,0.01680,0.45900,0.05991,0.57868,0.11470,0.30642,0.05693,0.23424,0.04990,0.01063,0.00219,0.38753,0.12322,0.10493,0.01571,22.70775,3.49855
combined_and_extreme,random_forest_topology_planner,16,0.04167,0.04715,0.48968,0.05994,0.78655,0.04031,0.49211,0.08697,0.12687,0.02754,0.37721,0.07996,0.80605,0.09272,0.28472,0.05282,0.22253,0.05085,0.00846,0.00317,0.34497,0.14063,0.07944,0.02284,24.13836,4.97471
combined_and_extreme,risk_averse_graph_planner,16,0.03125,0.03292,0.38686,0.08453,0.34894,0.07802,0.81334,0.08069,0.14689,0.01604,0.27557,0.05074,0.59375,0.10317,0.08290,0.05632,0.07726,0.04287,0.02192,0.00585,0.47264,0.07348,0.14769,0.02770,40.39127,6.69591
combined_and_extreme,robust_contact_mpc,16,0.04167,0.04715,0.71298,0.07108,0.44817,0.11834,0.86299,0.02879,0.13175,0.03319,0.34475,0.11383,0.60417,0.10700,0.28819,0.06006,0.22686,0.05447,0.00673,0.00219,0.31750,0.14297,0.07903,0.02293,25.08621,5.51770
combined_and_extreme,state_only_dynamics_model,16,0.04167,0.04715,0.79854,0.05168,0.53237,0.09258,0.88720,0.02469,0.09585,0.02255,0.51862,0.13550,0.68750,0.08884,0.28624,0.05349,0.22600,0.04760,0.00803,0.00350,0.34299,0.14301,0.08519,0.02356,24.76425,5.28501
combined_and_extreme,topology_no_memory_ablation,16,0.04167,0.04715,0.73853,0.04227,0.57384,0.05898,0.77236,0.09308,0.09868,0.01628,0.47053,0.06394,0.56915,0.09791,0.28472,0.06639,0.21189,0.05661,0.01150,0.00296,0.39300,0.10932,0.11048,0.01832,26.29275,4.07421
combined_and_extreme,topology_world_model_v4,16,0.03125,0.03292,0.63534,0.06418,0.52647,0.07136,0.79915,0.09385,0.11656,0.01578,0.40361,0.06158,0.54167,0.09663,0.20226,0.07831,0.17882,0.06475,0.01389,0.00346,0.31831,0.13123,0.08026,0.02337,39.26639,11.56632
combined_and_extreme,topology_world_model_v5,16,0.02083,0.02790,0.61682,0.06094,0.53717,0.06153,0.81927,0.07393,0.11769,0.01537,0.41081,0.06485,0.60566,0.08326,0.19553,0.08794,0.16623,0.06415,0.01150,0.00254,0.32690,0.12475,0.08652,0.02110,41.11772,9.16011
