group,method,seed_split_rows,success_rate,ci95_success_rate,edge_f1,ci95_edge_f1,birth_f1,ci95_birth_f1,death_f1,ci95_death_f1,graph_edit,ci95_graph_edit,component_accuracy,ci95_component_accuracy,jam_f1,ci95_jam_f1,safety_violation_rate,ci95_safety_violation_rate,fixture_contact_rate,ci95_fixture_contact_rate,wall_contact_rate,ci95_wall_contact_rate,final_progress,ci95_final_progress,final_y_error,ci95_final_y_error,energy,ci95_energy
all_splits,conformal_graph_guard,96,0.08333,0.02560,0.61869,0.03603,0.58768,0.03980,0.68330,0.04840,0.12200,0.00904,0.38562,0.03932,0.45587,0.06316,0.16692,0.05143,0.12880,0.04061,0.00887,0.00154,0.40841,0.05545,0.09533,0.01083,26.84435,3.06113
all_splits,contact_implicit_mpc_baseline,96,0.08681,0.02513,0.87580,0.02222,0.74837,0.04694,0.92789,0.01571,0.05217,0.01099,0.68883,0.05270,0.55729,0.07237,0.20511,0.05818,0.20234,0.06318,0.00463,0.00097,0.40969,0.06281,0.07102,0.00957,18.17729,2.59717
all_splits,distance_threshold_graph,96,0.08333,0.02419,0.87741,0.02162,0.75139,0.04608,0.92751,0.01542,0.05115,0.01040,0.69074,0.05155,0.55903,0.07126,0.20305,0.05718,0.19992,0.06201,0.00452,0.00102,0.40802,0.06249,0.07323,0.00881,17.99485,2.49480
all_splits,ensemble_uncertainty_planner,96,0.09375,0.02771,0.71467,0.02446,0.77779,0.02358,0.61126,0.05545,0.10883,0.01066,0.45842,0.04788,0.57476,0.06988,0.20511,0.05822,0.19930,0.05964,0.00696,0.00128,0.38975,0.05553,0.09282,0.01184,20.07276,2.83146
all_splits,hist_gradient_topology_planner,96,0.08333,0.02419,0.80439,0.01938,0.91585,0.01167,0.54410,0.06277,0.08730,0.00985,0.45491,0.06115,0.64410,0.07504,0.20425,0.05783,0.20216,0.06294,0.00459,0.00092,0.40740,0.06309,0.06989,0.00881,18.17631,2.66093
all_splits,last_contact_persistence,96,0.08507,0.02466,0.91282,0.00890,0.89298,0.01127,0.89403,0.01482,0.02781,0.00339,0.80799,0.02209,0.63404,0.07345,0.20360,0.05790,0.20122,0.06270,0.00477,0.00093,0.41032,0.06388,0.07013,0.00892,18.23442,2.62605
all_splits,oracle_topology_planner,96,0.14410,0.02805,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.53993,0.05045,0.00000,0.00000,0.00609,0.00209,0.00629,0.00152,0.64312,0.02802,0.08452,0.01233,30.63017,2.95085
all_splits,pairwise_contact_classifier,96,0.10764,0.03208,0.70985,0.02474,0.55662,0.04285,0.58174,0.05458,0.12924,0.01150,0.52508,0.03849,0.51274,0.06079,0.20880,0.05815,0.19914,0.06054,0.00590,0.00105,0.41994,0.05933,0.07891,0.00912,20.08279,2.48243
all_splits,random_forest_topology_planner,96,0.08507,0.02466,0.48640,0.04054,0.86930,0.02075,0.34322,0.05260,0.15298,0.01364,0.29268,0.05067,0.63823,0.07012,0.20613,0.05721,0.20289,0.06188,0.00495,0.00102,0.41430,0.06238,0.07334,0.00942,18.12673,2.31857
all_splits,risk_averse_graph_planner,96,0.08333,0.02862,0.39992,0.03697,0.38514,0.03809,0.73897,0.03630,0.15316,0.00677,0.23710,0.02629,0.36713,0.06291,0.06955,0.02901,0.06335,0.02190,0.01360,0.00192,0.48683,0.03999,0.14093,0.01189,33.76874,2.34231
all_splits,robust_contact_mpc,96,0.08507,0.02466,0.86152,0.02508,0.70719,0.05105,0.93509,0.01449,0.06331,0.01304,0.65372,0.05638,0.51667,0.07132,0.20587,0.05745,0.20307,0.06222,0.00470,0.00093,0.40767,0.06357,0.07230,0.00915,18.32625,2.65174
all_splits,state_only_dynamics_model,96,0.08507,0.02418,0.90501,0.01884,0.73374,0.04992,0.95447,0.01162,0.04831,0.00926,0.80423,0.05118,0.57043,0.06914,0.20627,0.05707,0.20321,0.06170,0.00517,0.00114,0.41186,0.06302,0.06967,0.00907,17.94376,2.57168
all_splits,topology_no_memory_ablation,96,0.10417,0.02992,0.70839,0.02642,0.55464,0.04386,0.58819,0.05507,0.12793,0.01195,0.52851,0.03935,0.51390,0.05869,0.20533,0.05761,0.19381,0.05957,0.00593,0.00118,0.41463,0.05839,0.08000,0.00907,20.61597,2.58662
all_splits,topology_world_model_v4,96,0.09028,0.02733,0.61977,0.03896,0.58048,0.04382,0.68185,0.05123,0.12357,0.00973,0.38914,0.03961,0.44405,0.06421,0.16547,0.05017,0.13198,0.04133,0.00828,0.00144,0.41221,0.05701,0.09421,0.01234,26.10544,3.21431
all_splits,topology_world_model_v5,96,0.06944,0.02353,0.59456,0.04072,0.56383,0.04322,0.70079,0.04679,0.12576,0.00976,0.38020,0.04013,0.45325,0.06465,0.15817,0.04952,0.11697,0.03799,0.00817,0.00138,0.40322,0.05537,0.09543,0.01108,28.00898,3.14818
hard_splits,conformal_graph_guard,88,0.07197,0.02521,0.61680,0.03896,0.57444,0.04187,0.71175,0.04814,0.11980,0.00970,0.40915,0.03931,0.49507,0.06266,0.18209,0.05504,0.14047,0.04350,0.00940,0.00162,0.37550,0.05544,0.09877,0.01148,27.31773,3.29134
hard_splits,contact_implicit_mpc_baseline,88,0.07197,0.02408,0.86867,0.02350,0.73097,0.04956,0.92146,0.01649,0.05614,0.01163,0.66612,0.05501,0.60606,0.07048,0.22376,0.06203,0.22070,0.06765,0.00505,0.00101,0.37378,0.06335,0.07592,0.00981,18.64092,2.79601
hard_splits,distance_threshold_graph,88,0.06818,0.02279,0.87005,0.02287,0.73396,0.04861,0.92108,0.01616,0.05508,0.01098,0.66781,0.05368,0.60795,0.06905,0.22151,0.06095,0.21806,0.06638,0.00485,0.00108,0.37190,0.06291,0.07824,0.00889,18.44166,2.68419
hard_splits,ensemble_uncertainty_planner,88,0.07955,0.02742,0.72546,0.02533,0.77045,0.02440,0.64309,0.05512,0.10191,0.01040,0.48705,0.04774,0.62512,0.06679,0.22376,0.06208,0.21738,0.06375,0.00744,0.00134,0.35622,0.05507,0.09768,0.01237,20.47161,3.04103
hard_splits,hist_gradient_topology_planner,88,0.06818,0.02279,0.80406,0.02115,0.91408,0.01266,0.57736,0.06399,0.08486,0.01060,0.48533,0.06287,0.70076,0.07067,0.22281,0.06166,0.22050,0.06738,0.00497,0.00096,0.37124,0.06361,0.07461,0.00897,18.63962,2.86658
hard_splits,last_contact_persistence,88,0.07008,0.02345,0.90951,0.00939,0.89157,0.01225,0.88635,0.01517,0.02903,0.00359,0.80017,0.02342,0.68848,0.06959,0.22210,0.06174,0.21948,0.06713,0.00513,0.00097,0.37457,0.06465,0.07484,0.00910,18.70304,2.82752
hard_splits,oracle_topology_planner,88,0.14015,0.02934,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.56061,0.05178,0.00000,0.00000,0.00644,0.00227,0.00678,0.00162,0.63515,0.02981,0.09060,0.01264,31.61653,3.09411
hard_splits,pairwise_contact_classifier,88,0.09470,0.03331,0.71223,0.02654,0.54218,0.04501,0.60616,0.05667,0.12743,0.01242,0.55759,0.03455,0.55501,0.05867,0.22779,0.06195,0.21717,0.06476,0.00643,0.00108,0.38795,0.06033,0.08433,0.00914,20.07054,2.65480
